PROJECTNAME,TRIP_CODE,SAMPLEDEPTH_M,SAMPLEDATELOCAL,SALINITY_PSU,SALINITY_FLAG,SALINITY_COMMENTS,SILICATE_UMOLL,SILICATE_FLAG,NITRATE_UMOLL,NITRATE_FLAG,PHOSPHATE_UMOLL,PHOSPHATE_FLAG,AMMONIUM_UMOLL,AMMONIUM_FLAG,NITRITE_UMOLL,NITRITE_FLAG,NUTRIENT_COMMENTS,DIC_UMOLKG,CARBON_FLAG,CARBON_COMMENTS,TALKALINITY_UMOLKG,ALKALINITY_FLAG,ALKALINITY_COMMENTS,OXYGEN_UMOLL,OXYGEN_FLAG,OXYGEN_COMMENTS,MICROBIOMESAMPLE_ID
NRS,KAI20100315,50,2010-03-16 06:15:00,35.146,1,,0.8,1,1.5,1,0.3,1,0.2,1,,9,,2125.75,1,,2324.44,1,,,9,,
NRS,NSI20100618,10,2010-06-18 12:45:00,35.52,1,,0,1,0.1,1,0,1,0.11,1,,9,,2008.35,1,,2328.64,1,,,9,,
NRS,PHB20101213,75,2010-12-14 09:45:00,35.271,1,,5.2,1,12.4,1,0.86,1,0,1,,9,,2123.05,1,,2316.76,1,,,9,,
NRS,ESP20090917,30,2009-09-17 09:55:00,35.525,1,,0,1,0.1,1,0.05,1,,0,,9,,,9,,,9,,1.3,1,,
NRS,YON20100224,10,2010-02-24 11:13:00,34.347,1,,2.2,1,0,1,0.01,1,0,1,,9,,1924.05,1,,2245.11,1,,,9,,
NRS,NSI20101115,40,2010-11-16 09:45:00,35.48,1,,0.5,1,0,1,0.04,1,0.07,1,,9,,,9,,,9,,,9,,
NRS,YON20120615,0,2012-06-15 10:56:00,35.148,1,,0.8,1,0,1,0.08,1,0.21,1,,9,,1969.17,1,,2279.2,1,WOCE - average of duplicates,,9,,
NRS,ROT20120928,20,2012-09-28 11:56:00,35.377,1,,2.2,1,0,1,0.08,1,0.05,1,,9,,2027.61,1,,2319.91,1,,,9,,
NRS,DAR20130405,10,2013-04-05 00:11:00,33.194,1,,4.4,1,0,1,0.22,1,0,1,,9,,1929.1,2,WOCE - questionable data,2216.3,1,,,9,,
NRS,PHB20111206,50,2011-12-07 09:45:00,35.444,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,NIN20120226,50,2012-02-26 10:09:00,34.738,1,,,0,,0,,0,,0,,0,,1986.7,1,,2279.89,1,,,9,,
NRS,PHB20101213,100,2010-12-14 09:45:00,35.274,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,NSI20111116,20,2011-11-16 10:40:00,35.574,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,PHB20130422,75,2013-04-23 09:47:00,35.317,1,,,0,,0,,0,,0,,0,,2023.08,1,,2317.84,1,,,9,,http://hdl.handle.net/102.100.100/27431
NRS,PHB20130514,100,2013-05-15 09:55:00,35.485,1,,,0,,0,,0,,0,,0,,2088.26,1,,2326.68,1,,,9,,http://hdl.handle.net/102.100.100/27434
NRS,ROT20121219,30,2012-12-19 12:29:00,35.508,1,,,0,,0,,0,,0,,0,,,9,WOCE - no data,,9,,,9,,
NRS,PHB20130514,60,2013-05-15 09:55:00,35.482,1,,2.1,1,5.7,1,0.54,1,1.27,2,,9,ammonia may have been contaminated on sampling,2074.61,1,,2325.58,1,,,9,,
NRS,MAI20131117,0,2013-11-18 11:05:00,35.291,1,,,0,,0,,0,,0,,0,,2080.25,1,,2329.03,1,WOCE - average of duplicates,270.3,1,,http://hdl.handle.net/102.100.100/21647
NRS,PHB20130611,40,2013-06-12 10:30:00,35.526,1,,1,1,1.7,1,0.19,1,0.12,1,,9,,2058.4,1,,2330.06,1,,,9,,
NRS,PHB20131202,30,2013-12-02 10:05:00,35.569,1,,0.3,1,0.1,1,0.1,1,0.1,1,,9,,,9,,,9,,,9,,
NRS,NSI20140213,20,2014-02-13 10:25:00,35.641,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,http://hdl.handle.net/102.100.100/27289
NRS,DAR20140118_0030,21,2014-01-18 10:05:00,,9,Salinity not taken,7,1,1.6,1,0.83,1,0.12,1,,9,,1991.82,1,,2260.53,1,,,9,,
NRS,DAR20140118_0330,0,2014-01-18 13:08:00,33.923,1,,,0,,0,,0,,0,,0,,1988.05,1,,2259.42,1,,,9,,
NRS,ROT20140624,40,2014-06-24 13:48:00,35.155,1,,,0,,0,,0,,0,,0,,2007.08,1,,2309.93,1,,,9,,
NRS,ROT20131122,46,2013-11-22 10:41:00,35.504,1,,,0,,0,,0,,0,,0,,2048.23,1,,2329.93,1,,,9,,
NRS,DAR20140906_0630,24,2014-09-06 16:05:00,34.481,1,,5.1,1,0,1,0.23,1,0.09,1,,9,,2014.22,1,,2291.89,1,,,9,,
NRS,PHB20140824,100,2014-08-25 11:32:00,35.608,1,,1.9,1,2.1,1,0.29,1,0.36,1,,9,,2072.26,1,,2335.02,1,,,9,,http://hdl.handle.net/102.100.100/27512
NRS,PHB20140211,40,2014-02-12 12:45:00,35.497,1,,1.9,1,4,1,0.38,1,0.36,1,,9,,2083.82,1,,2328.96,1,,,9,,
NRS,MAI20140619,10,2014-06-19 11:35:00,35.332,1,,0.7,1,3,1,0.3,1,0.09,1,,9,,2098.02,1,,2323.67,1,,255,1,,http://hdl.handle.net/102.100.100/27122
NRS,MAI20140821,10,2014-08-21 12:35:00,35.294,1,,0.7,1,2.3,1,0.29,1,0.16,1,,9,,2097.54,1,,2325.01,1,,262.2,1,,http://hdl.handle.net/102.100.100/27138
NRS,MAI20140915,85,2014-09-16 11:15:00,35.279,2,,0.6,1,2,1,0.28,1,0.29,1,,9,salinity overfilled,2098.94,1,,2326.28,1,,268.8,1,,http://hdl.handle.net/102.100.100/27148
NRS,NSI20150512,10,2015-05-12 11:15:00,35.488,1,,,0,,0,,0,,0,,0,,1997.96,1,,2323.12,1,,,9,,http://hdl.handle.net/102.100.100/21839
NRS,DAR20150203_0030,20,2015-02-03 10:00:00,33.2,1,,,0,,0,,0,,0,,0,,1955.43,1,,2261.43,1,,,9,,
NRS,ROT20141216,10,2014-12-16 10:13:00,35.664,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,KAI20150909,40,2015-09-09 13:20:00,36.076,1,,0.9,1,0.2,1,0.18,1,0.13,1,,9,,,9,,,9,,,9,,
NRS,PHB20150723,60,2015-07-23 10:13:00,35.555,1,,,0,,0,,0,,0,,0,,2075.77,1,,2331.38,1,WOCE - average of duplicates,,9,,
NRS,PHB20150630,0,2015-06-30 12:00:00,35.613,1,,1,1,0.8,1,0.16,1,0.19,1,,9,,2034.03,1,,2334.04,1,,,9,,http://hdl.handle.net/102.100.100/21856
NRS,YON20160725,20,2016-07-25 11:28:00,35.444,1,,0.7,1,0,6,0.06,1,0,6,0,6,,1992.67,1,,2313.11,1,,,9,,
NRS,PHB20151115,100,2015-11-16 10:28:00,35.323,1,,3.6,1,11,1,0.81,1,0.18,1,,9,,2121.97,1,,2316.78,1,WOCE - average of duplicates,,9,,http://hdl.handle.net/102.100.100/21915
NRS,ROT20160324,20,2016-03-24 11:45:00,35.89,1,,1.1,1,0.1,1,0.05,1,0,6,,0,,2062.17,1,,2350.45,1,,220.7,1,,http://hdl.handle.net/102.100.100/34177
NRS,KAI20160525,30,2016-05-26 08:30:00,35.905,1,,0.5,1,0.4,1,0.12,1,0.09,1,0.19,1,,2109.13,1,,2356.62,1,,,9,,
NRS,MAI20160720,50,2016-07-21 10:40:00,35.232,1,,,0,,0,,0,,0,,0,,2103.02,1,,2326.65,1,,259.4,1,,http://hdl.handle.net/102.100.100/34802
NRS,DAR20160201_2130,10,2016-02-02 07:00:00,33.467,1,,,0,,0,,0,,0,,0,,1938.47,1,,2207.93,1,,,9,,http://hdl.handle.net/102.100.100/34220
NRS,ROT20160527,0,2016-05-27 11:15:00,35.753,1,,2.1,1,0.2,1,0.06,1,0.18,1,,9,,2059.65,1,,2345.34,1,,225.2,1,,http://hdl.handle.net/102.100.100/34710
NRS,ROT20150924,47,2015-09-24 12:10:00,35.546,1,,,0,0.5,1,0.07,1,0.15,1,,0,,2046.34,1,,2330.3,1,,,9,,http://hdl.handle.net/102.100.100/21873
NRS,DAR20170715_0630,0,2017-07-15 16:00:00,34.349,1,,,0,,0,,0,,0,,0,,1983.39,1,,2276.86,1,,,9,,http://hdl.handle.net/102.100.100/35370
NRS,YON20170120,26,2017-01-20 11:48:00,35.604,1,,,0,,0,,0,,0,,0,,1980.5,1,,2318.88,1,,,9,,http://hdl.handle.net/102.100.100/34771
NRS,DAR20170715_0330,17,2017-07-15 13:00:00,34.348,1,,,0,,0,,0,,0,,0,,1987.46,1,,2278.42,1,,,9,,http://hdl.handle.net/102.100.100/35381
NRS,KAI20171129,50,2017-11-29 15:20:00,35.728,1,,0.7,1,0.7,1,0.18,1,0.19,1,0,6,,2108.85,1,,2352.55,1,,,9,,http://hdl.handle.net/102.100.100/139856
NRS,MAI20170412,50,2017-04-12 10:40:00,35.407,1,,,0,,0,,0,,0,,0,,,9,,,9,,240.6,1,,http://hdl.handle.net/102.100.100/35421
NRS,MAI20180116,85,2018-01-17 10:50:00,35.331,1,,,0,,0,,0,,0,,0,,2066.79,1,,2327.21,1,,239.2,1,,http://hdl.handle.net/102.100.100/139893
NRS,NSI20170217,0,2017-02-17 11:20:00,35.653,1,,0.9,1,0,6,0,6,0.11,1,0,6,,2005.68,1,,2332.85,1,,,9,,http://hdl.handle.net/102.100.100/35442
NRS,NSI20171116,20,2017-11-16 10:56:00,35.561,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,MAI20161117,10,2016-11-18 14:15:00,35.112,1,,0.4,1,0.9,1,0.28,1,0.7,1,0.13,1,,2080.3,1,,2316.03,1,,246.7,1,,http://hdl.handle.net/102.100.100/34812
NRS,PHB20170205,50,2017-02-06 11:20:00,35.524,1,,2.3,1,6.7,1,0.46,1,0,6,,0,,,9,,,9,,,9,,http://hdl.handle.net/102.100.100/35268
NRS,YON20171130,0,2017-11-30 10:50:00,35.476,1,,1.2,1,0,6,0,6,0.1,1,0,6,,1993.87,1,,2314.93,1,,,9,,http://hdl.handle.net/102.100.100/139828
NRS,ROT20170407,20,2017-04-07 10:55:00,35.772,1,,1.6,1,0.3,1,0.09,1,0.08,1,,0,,2057.61,1,,2345.6,1,,,9,,http://hdl.handle.net/102.100.100/35534
NRS,YON20161012,26,2016-10-12 12:20:00,35.685,4,no insert in bottle,,0,,0,,0,,0,,0,,2005.02,1,,2325.9,1,,,9,,http://hdl.handle.net/102.100.100/34759
NRS,NSI20170424,40,2017-04-24 11:44:00,35.594,1,,0.7,1,0,6,0,6,0.05,1,0,6,,,9,,,9,,,9,,http://hdl.handle.net/102.100.100/35452
NRS,ROT20171214,0,2017-12-14 11:15:00,35.783,1,,1,1,0,6,0.08,1,0.08,1,,0,,2046.11,1,,2344.85,1,,230.7,1,,http://hdl.handle.net/102.100.100/139803
NRS,PHB20170921,100,2017-09-21 08:48:00,35.53,1,,,0,,0,,0,,0,,0,,2092.56,1,,2330.2,1,,,9,,
NRS,DAR20180209_0330,10,2018-02-09 13:00:00,33.027,1,,5.4,1,0,6,0.14,1,0.06,1,0,6,,1823.51,1,,2090.26,1,,,9,,
NRS,DAR20190214_0330,19,2019-02-14 13:02:00,34.103,1,,,0,,0,,0,,0,,0,,1982.57,1,,2253.68,1,,,9,,
NRS,PHB20180528,10,2018-05-29 10:48:00,35.714,1,,1,1,1.7,1,0.22,1,1.15,1,0.52,1,,,9,,,9,,,9,,
NRS,PHB20200224,0,2020-02-25 09:20:00,34.124,1,,,0,,0,,0,,0,,0,,1976.04,1,,2257.69,1,,,9,,
NRS,YON20200926,10,2020-09-26 12:57:00,35.396,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,ROT20190527,46,2019-05-27 10:15:00,35.722,1,,,0,,0,,0,,0,,0,,2062.42,1,,2345.41,1,,218.9,1,,http://hdl.handle.net/102.100.100/139980
NRS,ROT20180620,30,2018-06-20 11:09:00,35.435,1,,,0,,0,,0,,0,,0,,,9,,,9,,223.7,1,,
NRS,PHB20191118,25,2019-11-19 09:39:00,35.643,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,YON20201209,0,2020-12-10 08:24:00,35.542,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,NSI20180817,50,2018-08-17 10:45:00,35.618,1,,0.5,1,1.5,1,0.18,1,0.08,1,0,6,,2048.56,1,,2342.03,1,,,9,,http://hdl.handle.net/102.100.100/139925
NRS,MAI20180919,30,2018-09-20 10:20:00,35.19,1,,0.6,1,3.4,1,0.38,1,0.07,1,0.22,1,,2100.59,1,,2322.89,1,,271.6,1,,
NRS,MAI20180919,85,2018-09-20 10:20:00,35.199,1,,,0,,0,,0,,0,,0,,2100.46,1,,2325.16,1,WOCE - average of duplicates,269.8,1,,http://hdl.handle.net/102.100.100/139900
NRS,PHB20210210,0,2021-02-11 09:24:00,35.513,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,YON20190703,0,2019-07-03 11:40:00,35.372,1,,,0,,0,,0,,0,,0,,1996.3,1,,2294.38,1,,,9,,http://hdl.handle.net/102.100.100/139846
NRS,PHB20210310,10,2021-03-11 09:36:00,35.307,1,,1.3,1,0.2,1,0.1,1,0.11,1,0,6,,,9,,,9,,,9,,
NRS,PHB20191028,25,2019-10-29 09:47:00,35.682,2,bottle over filled,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,MAI20191121,85,2019-11-22 10:01:00,,0,,1.6,1,5.1,1,0.49,1,0.84,1,0.39,1,,2106.85,1,,2316.62,1,,263.1,1,,http://hdl.handle.net/102.100.100/139911
Coastal Stations,BAI20200813,2,2020-08-13 02:45:00,,9,,11.64,1,10.96,1,0.572,1,8.302,1,0.706,1,,,9,,,9,,,9,,
NRS,MAI20210428,75,2021-04-28 10:56:00,35.558,1,,1.4,1,1.8,1,0.26,1,0.28,1,0.45,1,,,9,,,9,,239.7,1,,
NRS,MAI20210625,0,2021-06-25 10:59:00,35.278,1,,1.1,1,3.5,1,0.36,1,0,6,0,6,,,9,,,9,,256.8,1,,
NRS,MAI20120820,50,2012-08-20 11:30:00,35.282,1,,,0,,0,,0,,0,,0,,2098.75,1,,2323.38,1,,268.5,1,,http://hdl.handle.net/102.100.100/27011
NRS,NSI20130123,57,2013-01-23 11:00:00,35.521,1,,,0,,0,,0,,0,,0,,2056.51,1,,2325.44,1,,,9,,
NRS,PHB20120517,40,2012-05-18 11:05:00,35.477,1,,2.3,1,1.2,1,0.1,1,0.28,1,,9,,2026.99,1,,2322.38,1,,,9,,
NRS,YON20110527,10,2011-05-27 11:05:00,34.311,1,,2.8,1,0.1,1,0.15,1,0.01,1,,9,,1949.33,1,,2249.75,1,,,9,,
NRS,ESP20091216,0,2009-12-16 10:00:00,35.76,1,,,0,,0,,0,,0,,0,,2060.63,1,WOCE - average of duplicates,2346.44,1,,0.9,1,,
NRS,KAI20110319,0,2011-03-20 09:45:00,35.776,1,,,0,,0,,0,,0,,0,,2094.55,1,,2350.35,1,,,9,,
NRS,KAI20110718,30,2011-07-19 09:15:00,,9,,,0,,0,,0,,0,,0,,2082.98,1,,2357.42,1,,,9,,
NRS,PHB20090518,25,2009-05-19 09:40:00,35.272,1,,0.9,1,0.7,1,0.15,1,0.14,1,,9,,2010.4,1,,2310.23,1,,,9,,
NRS,MAI20120326,10,2012-03-27 10:55:00,35.442,1,,0,1,0.1,1,0.1,1,0.05,1,,9,,2058.15,1,,2327.57,1,WOCE - average of duplicates,245.1,1,,http://hdl.handle.net/102.100.100/35725
NRS,YON20110616,10,2011-06-16 11:40:00,34.665,1,,2.2,1,0.1,1,0.15,1,0.05,1,,9,,1958.5,1,,2261.56,1,WOCE - average of duplicates,,9,,
NRS,NSI20101215,10,2010-12-16 08:45:00,35.195,1,,0.4,1,0,1,0.03,1,0.11,1,,9,,1971.18,1,,2308.19,1,,,9,,
NRS,KAI20091007,105,2009-10-07 16:45:00,35.778,1,,,9,,9,,9,,9,,9,,2114.09,1,,2364.06,1,WOCE - average of duplicates,,9,,
NRS,NSI20100520,40,2010-05-21 08:36:00,35.239,1,,0.6,1,0.2,1,0,1,0.11,1,,9,,,9,,,9,,,9,,
NRS,MAI20120621,0,2012-06-21 11:15:00,35.297,1,,2,1,2.6,1,0.15,1,0.11,1,,9,,2093.71,1,,2321.23,1,WOCE - average of duplicates,265.1,1,,http://hdl.handle.net/102.100.100/35742
NRS,PHB20121218,10,2012-12-18 22:31:00,35.467,1,,0.8,1,0,1,0.19,1,0.44,1,,9,,,9,,,9,,,9,,http://hdl.handle.net/102.100.100/27408
NRS,PHB20100413,0,2010-04-14 09:33:00,35.456,1,,0.5,1,0.1,1,0.07,1,0.05,1,,9,,2012.44,1,,2322.45,1,,,9,,
NRS,DAR20121209_0300,0,2012-12-09 12:30:00,34.514,1,,6.6,1,0,1,0.22,1,0.14,1,,9,,1989.66,1,,2287.9,1,,,9,,
NRS,PHB20120821,30,2012-08-22 09:34:00,35.504,1,,0.8,1,1.8,1,0.2,1,0.18,1,,9,,,9,,,9,,,9,,
NRS,MAI20120524,75,2012-05-24 11:45:00,35.439,1,,,0,,0,,0,,0,,0,,2085.58,1,,2328.12,1,,250.6,1,,http://hdl.handle.net/102.100.100/35740
NRS,PHB20120311,30,2012-03-12 09:15:00,35.201,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,ROT20110125,30,2011-01-25 09:25:00,35.577,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,ROT20130423,0,2013-04-23 10:53:00,35.408,1,,,0,,0,,0,,0,,0,,2020.26,1,,2326.31,1,,,9,,
NRS,ESP20130314,10,2013-03-14 09:39:00,35.752,1,,,0,,0,,0,,0,,0,,,9,,,9,,0.6,1,,
NRS,PHB20131202,100,2013-12-02 10:05:00,35.3,1,,,0,,0,,0,,0,,0,,2117.86,1,,2316.95,1,WOCE - average of duplicates,,9,,http://hdl.handle.net/102.100.100/27470
NRS,PHB20140120,60,2014-01-21 09:45:00,35.514,1,,,0,,0,,0,,0,,0,,2088.97,1,,2329.78,1,WOCE - average of duplicates,,9,,
NRS,DAR20130617_1500,10,2013-06-17 15:00:00,34.123,1,,5.8,1,0,1,0.24,1,0,1,,9,,1962.89,1,,2265.16,1,,,9,,
NRS,MAI20130611,82,2013-06-11 12:10:00,35.362,1,,0.4,1,2.3,1,0.33,1,0.17,1,,9,Bubble in DO flask,,9,,,9,,262.7,2,,http://hdl.handle.net/102.100.100/27076
NRS,DAR20140117_2130,23,2014-01-18 21:33:00,34.051,1,,7.2,1,1.6,1,0.6,1,0.15,1,,9,,1991.36,1,,2264.55,1,,,9,,
NRS,PHB20140515,100,2014-05-16 11:28:00,35.457,1,,,0,,0,,0,,0,,0,,2103.51,1,,2325.86,1,,,9,,http://hdl.handle.net/102.100.100/27494
NRS,NSI20140507,40,2014-05-07 10:55:00,35.578,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,http://hdl.handle.net/102.100.100/27309
NRS,NSI20141107,0,2014-11-07 11:30:00,,9,,0.4,1,0,1,0.1,1,0.04,1,,9,,2000.81,1,,2323.42,1,WOCE - average of duplicates,,9,,http://hdl.handle.net/102.100.100/27341
NRS,ROT20141119,30,2014-11-19 11:00:00,35.507,1,,1.7,1,0,1,0.06,1,0.07,1,,9,,,9,,,9,,,9,,
NRS,PHB20150330,75,2015-03-31 10:09:00,35.572,1,,1.5,1,3.6,1,0.3,1,0.2,1,,9,,2073.81,1,,2332.79,1,,,9,,http://hdl.handle.net/102.100.100/21866
NRS,NSI20150907,10,2015-09-07 11:40:00,35.643,1,,,0,,0,,0,,0,,0,,2023.76,1,,2335.47,1,,,9,,http://hdl.handle.net/102.100.100/21959
NRS,MAI20150421,10,2015-04-21 12:10:00,35.598,1,,,0,,0,,0,,0,,0,,2067.42,1,,2337.74,1,,245,1,,http://hdl.handle.net/102.100.100/21827
NRS,PHB20150630,20,2015-06-30 12:00:00,35.601,1,,1,1,1,1,0.19,1,0.22,1,,9,,2036.32,1,,2333.85,1,,,9,,
NRS,PHB20150630,75,2015-06-30 12:00:00,35.455,1,,0.2,1,7.9,1,0.64,1,0.15,1,,9,,2101.4,1,,2326.74,1,,,9,,http://hdl.handle.net/102.100.100/21860
NRS,MAI20150811,60,2015-08-12 10:10:00,35.272,1,,1.5,1,4,1,0.37,1,0.09,1,,9,,,9,,,9,,268.6,1,,
NRS,YON20150825,10,2015-08-25 12:00:00,35.592,1,,,0,,0,,0,,0,,0,,2004.89,1,,2325.38,1,,,9,,http://hdl.handle.net/102.100.100/21979
NRS,PHB20150330,10,2015-03-31 10:09:00,35.627,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,http://hdl.handle.net/102.100.100/21863
NRS,ROT20161004,30,2016-10-04 12:30:00,35.699,1,,1.5,1,0.1,1,0.05,1,0.12,1,,0,,,9,,,9,,,9,,http://hdl.handle.net/102.100.100/34725
NRS,ROT20160527,47,2016-05-27 11:15:00,35.823,1,,,0,,0,,0,,0,,0,,2087.4,1,,2347.37,1,,225.7,1,,http://hdl.handle.net/102.100.100/34715
NRS,ROT20160413,0,2016-04-13 10:31:00,35.763,1,,,0,,0,,0,,0,,0,,2083.49,1,,2351.63,1,,225.1,1,,http://hdl.handle.net/102.100.100/34163
NRS,YON20160321,26,2016-03-21 10:57:00,35.342,1,,,0,,0,,0,,0,,0,,1971.26,1,,2297.05,1,,,9,,http://hdl.handle.net/102.100.100/34242
NRS,YON20160624,0,2016-06-24 10:10:00,35.473,1,,1.7,1,0,6,0,6,0,6,0,6,,1991.82,1,,2318.7,1,,,9,,http://hdl.handle.net/102.100.100/34744
NRS,DAR20160724_0130,0,2016-07-24 11:01:00,35.164,1,,4.8,1,0.1,1,0.22,1,0.09,1,0.03,1,,2031.35,1,,2328.78,4,Sediment in samples caused large variations in alkalinity; with differences in duplicates of up to 20 units.,,9,,http://hdl.handle.net/102.100.100/34772
NRS,MAI20151216,0,2015-12-17 13:00:00,35.538,1,,0,1,0.1,1,0.02,1,0,1,,0,,2058.56,1,,2334.45,1,,254.1,1,,http://hdl.handle.net/102.100.100/34139
NRS,NSI20170927,20,2017-09-27 11:35:00,,9,not collected,,0,,0,,0,,0,,0,,,9,,,9,,,9,,http://hdl.handle.net/102.100.100/139872
NRS,PHB20170321,20,2017-03-22 09:21:00,35.474,1,,,0,,0,,0,,0,,0,,2049.58,1,,2331.08,1,,,9,,
NRS,DAR20170715_0030,0,2017-07-15 10:00:00,34.341,1,,,0,,0,,0,,0,,0,,1985.34,1,,2269.46,1,,,9,,http://hdl.handle.net/102.100.100/35376
NRS,PHB20161030,75,2016-10-31 10:00:00,35.353,1,,,0,,0,,0,,0,,0,,2111.09,1,,2321.52,1,,,9,,
NRS,NSI20180417,40,2018-04-17 11:10:00,35.529,1,,,0,,0,,0,,0,,0,,,9,,,9,,,9,,
NRS,YON20170426,26,2017-04-26 11:28:00,34.863,1,,1.8,1,0,6,0.06,1,0,6,0,6,,1952.09,1,,2259.68,1,,,9,,http://hdl.handle.net/102.100.100/35567
NRS,ROT20180221,40,2018-02-21 12:25:00,35.717,1,,2,1,0.3,1,0.08,1,0.07,1,,0,,2051.97,1,,2347.5,1,,,9,,
NRS,MAI20170601,60,2017-06-02 10:38:00,35.269,1,,,0,,0,,0,,0,,0,,,9,,,9,,251,1,,
NRS,MAI20170601,85,2017-06-02 10:38:00,35.278,1,,,0,,0,,0,,0,,0,,2093.49,1,,2323.24,1,,250.5,1,,http://hdl.handle.net/102.100.100/35429
NRS,MAI20170223,0,2017-02-24 10:20:00,35.344,1,,0.6,1,0.1,1,0.1,1,0.05,1,,0,,2065.2,1,,2333.35,1,,203.4,1,,http://hdl.handle.net/102.100.100/35406
NRS,MAI20170921,10,2017-09-22 10:49:00,35.234,1,,,0,,0,,0,,0,,0,,2101.78,1,,2326.34,1,,271.7,1,,
