TRIP_CODE,SAMPLE_CODE,SAMPLEDEPTH_M,SAMPLEDATELOCAL,REPLICATE,PROCHLOROCOCCUS_CELLSML,SYNECOCHOCCUS_CELLSML,PICOEUKARYOTES_CELLSML,PROCHLOROCOCCUS_FLAG,SYNECOCHOCCUS_FLAG,PICOEUKARYOTES_FLAG,PICO_COMMENTS,ANALYSIS_LOCATION,ANALYSIS_DATE,ANALYST_NAME,TEMP_THAWED_DEGC,INTERNAL_STANDARD,INSTRUMENT_BRAND_MODEL,INSTRUMENT_SERIAL_NUMBER,LASER_NM,MODE_TYPE,ANALYSIS_VOLUME_UL,FLOW_RATE_UL_PER_MIN,ANALYSIS_TIME_MINUTES,BATCH_COMMENTS
DAR20120115_0540,NRSDAR20120115_0540_PHYCYTWC_02,WC,2012-01-15 05:40:00,2,,,,0,0,0,,,,,,,,,,,,,,
DAR20120417,NRSDAR20120417_PHYCYTWC_01,WC,2012-04-17 09:57:00,1,20401.5,62391,788,1,2,2,,,,,,,,,,,,,,
DAR20120417,NRSDAR20120417_PHYCYTWC_02,WC,2012-04-17 09:57:00,2,,,,4,4,4,possible bad preservation,,,,,,,,,,,,,
DAR20120729_1630,NRSDAR20120729_1630_PHYCYTWC_01,WC,2012-07-30 02:15:00,1,0,130284,4337,6,1,1,,,,,,,,,,,,,,
DAR20120729_1630,NRSDAR20120729_1630_PHYCYTWC_02,WC,2012-07-30 02:15:00,2,0,142286,6647,6,1,1,,,,,,,,,,,,,,
DAR20120729_1930,NRSDAR20120729_1930_PHYCYTWC_01,WC,2012-07-30 05:15:00,1,0,150182,7466,6,1,1,,,,,,,,,,,,,,
DAR20120729_1930,NRSDAR20120729_1930_PHYCYTWC_02,WC,2012-07-30 05:15:00,2,0,152649,7886,6,1,1,,,,,,,,,,,,,,
DAR20120729_2230,NRSDAR20120729_2230_PHYCYTWC_01,WC,2012-07-30 08:15:00,1,0,126998,5135,6,1,1,,,,,,,,,,,,,,
DAR20120729_2230,NRSDAR20120729_2230_PHYCYTWC_02,WC,2012-07-30 08:15:00,2,0,139965,6069,6,1,1,,,,,,,,,,,,,,
DAR20120730_0130,NRSDAR20120730_0130_PHYCYTWC_01,WC,2012-07-30 11:15:00,1,0,129119,4438,6,1,1,,,,,,,,,,,,,,
DAR20120730_0130,NRSDAR20120730_0130_PHYCYTWC_02,WC,2012-07-30 11:15:00,2,0,136112,5534,6,1,1,,,,,,,,,,,,,,
DAR20121029,NRSDAR20121029_PHYCYTWC_01,WC,2012-10-31 08:08:00,1,0,45633,1113,6,1,1,,,,,,,,,,,,,,
DAR20121029,NRSDAR20121029_PHYCYTWC_02,WC,2012-10-31 08:08:00,2,0,51743,2342,6,1,1,,,,,,,,,,,,,,
DAR20121208_1630,NRSDAR20121208_1630_PHYCYTWC_01,WC,2012-12-09 02:15:00,1,0,81554,2730,6,1,1,,,,,,,,,,,,,,
DAR20121208_1630,NRSDAR20121208_1630_PHYCYTWC_02,WC,2012-12-09 02:15:00,2,0,78047,2499,6,1,1,,,,,,,,,,,,,,
DAR20121208_2000,NRSDAR20121208_2000_PHYCYTWC_01,WC,2012-12-09 05:45:00,1,0,73983,3570,6,1,1,,,,,,,,,,,,,,
DAR20121208_2000,NRSDAR20121208_2000_PHYCYTWC_02,WC,2012-12-09 05:45:00,2,0,90342,4137,6,1,1,,,,,,,,,,,,,,
DAR20121208_2330,NRSDAR20121208_2330_PHYCYTWC_01,WC,2012-12-09 09:15:00,1,0,137603,4410,6,1,1,,,,,,,,,,,,,,
DAR20121208_2330,NRSDAR20121208_2330_PHYCYTWC_02,WC,2012-12-09 09:15:00,2,0,133445,4452,6,1,1,,,,,,,,,,,,,,
DAR20121209_0300,NRSDAR20121209_0300_PHYCYTWC_01,WC,2012-12-09 12:45:00,1,0,106124,1890,6,1,1,,,,,,,,,,,,,,
DAR20121209_0300,NRSDAR20121209_0300_PHYCYTWC_02,WC,2012-12-09 12:45:00,2,0,110303,2730,6,1,1,,,,,,,,,,,,,,
DAR20130405,NRSDAR20130405_PHYCYTWC_01,WC,2013-04-05 09:55:00,1,0,51251,588,6,1,1,,,,,,,,,,,,,,
DAR20130405,NRSDAR20130405_PHYCYTWC_02,WC,2013-04-05 09:55:00,2,0,52490,641,6,1,1,,,,,,,,,,,,,,
DAR20130617_0800,NRSDAR20130617_0800_PHYCYTWC_01,WC,2013-06-17 17:33:00,1,0,220616,2384,6,1,1,,,,,,,,,,,,,,
DAR20130617_0800,NRSDAR20130617_0800_PHYCYTWC_02,WC,2013-06-17 17:33:00,2,0,231536,2740,6,1,1,,,,,,,,,,,,,,
DAR20130617_0800,NRSDAR20130617_0800_PHYCYTWC,WC,2013-06-17 17:33:00,,,,,0,0,0,,,,,,,,,,,,,,
DAR20130617_1130,NRSDAR20130617_1130_PHYCYTWC_01,WC,2013-06-17 21:15:00,1,0,202913,3434,6,1,1,,,,,,,,,,,,,,
DAR20130617_1130,NRSDAR20130617_1130_PHYCYTWC_02,WC,2013-06-17 21:15:00,2,0,202514,4547,6,1,1,,,,,,,,,,,,,,
DAR20130617_1500,NRSDAR20130617_1500_PHYCYTWC_01,WC,2013-06-18 00:45:00,1,0,195534,4589,6,1,1,,,,,,,,,,,,,,
DAR20130617_1500,NRSDAR20130617_1500_PHYCYTWC_02,WC,2013-06-18 00:45:00,2,0,191132,4651,6,1,1,,,,,,,,,,,,,,
DAR20130617_1830,NRSDAR20130617_1830_PHYCYTWC_01,WC,2013-06-18 04:15:00,1,0,182480,5051,6,1,1,,,,,,,,,,,,,,
DAR20130617_1830,NRSDAR20130617_1830_PHYCYTWC_02,WC,2013-06-18 04:15:00,2,0,181209,5230,6,1,1,,,,,,,,,,,,,,
DAR20130916,NRSDAR20130916_PHYCYTWC_01,WC,2013-09-16 11:41:00,1,178,164441,3549,1,1,1,,,,,,,,,,,,,,
DAR20130916,NRSDAR20130916_PHYCYTWC_02,WC,2013-09-16 11:41:00,2,189,185504,3266,1,1,1,,,,,,,,,,,,,,
DAR20140117_1950,NRSDAR20140117_1950_PHYCYTWC_01,WC,2014-01-18 05:24:00,1,179,21809,1082,1,1,1,,,,,,,,,,,,,,
DAR20140117_1950,NRSDAR20140117_1950_PHYCYTWC_02,WC,2014-01-18 05:24:00,2,11,798,798,4,4,4,,,,,,,,,,,,,,
DAR20140117_2130,NRSDAR20140117_2130_PHYCYTWC_01,WC,2014-01-18 21:33:00,1,168,20969,1544,1,1,1,,,,,,,,,,,,,,
DAR20140117_2130,NRSDAR20140117_2130_PHYCYTWC_02,WC,2014-01-18 21:33:00,2,11,6195,557,4,4,4,,,,,,,,,,,,,,
DAR20140118_0030,NRSDAR20140118_0030_PHYCYTWC_01,WC,2014-01-18 10:05:00,1,504,10721,746,1,1,1,,,,,,,,,,,,,,
DAR20140118_0030,NRSDAR20140118_0030_PHYCYTWC_02,WC,2014-01-18 10:05:00,2,399,13020,861,1,1,1,,,,,,,,,,,,,,
DAR20140118_0330,NRSDAR20140118_0330_PHYCYTWC_01,WC,2014-01-18 13:08:00,1,221,24465,714,1,1,1,,,,,,,,,,,,,,
DAR20140118_0330,NRSDAR20140118_0330_PHYCYTWC_02,WC,2014-01-18 13:08:00,2,431,24875,1386,1,1,1,,,,,,,,,,,,,,
DAR20140403,NRSDAR20140403_PHYCYTWC_01,WC,2014-04-04 08:48:00,1,567,31154,1544,1,1,1,,,,,,,,,,,,,,
DAR20140403,NRSDAR20140403_PHYCYTWC_02,WC,2014-04-04 08:48:00,2,893,30965,1827,1,1,1,,,,,,,,,,,,,,
DAR20140702,NRSDAR20140702_PHYCYTWC_01,WC,2014-07-03 09:33:00,1,987,69468,2405,1,1,1,,,,,,,,,,,,,,
DAR20140702,NRSDAR20140702_PHYCYTWC_02,WC,2014-07-03 09:33:00,2,826,80672,2667,1,1,1,,,,,,,,,,,,,,
DAR20140906_0030,NRSDAR20140906_0030_PHYCYTWC_01,WC,2014-09-06 10:02:00,1,903.87,49954.55,4166.67,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20140906_0030,NRSDAR20140906_0030_PHYCYTWC_02,WC,2014-09-06 10:02:00,2,371.43,25459.18,2081.63,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20140906_0330,NRSDAR20140906_0330_PHYCYTWC_01,WC,2014-09-06 13:03:00,1,347.1,53179.1,3104.48,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20140906_0330,NRSDAR20140906_0330_PHYCYTWC_02,WC,2014-09-06 13:03:00,2,379.17,31645.83,1500,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20140906_0630,NRSDAR20140906_0630_PHYCYTWC_01,WC,2014-09-06 16:05:00,1,348.66,38293.1,3775.86,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20140906_0630,NRSDAR20140906_0630_PHYCYTWC_02,WC,2014-09-06 16:05:00,2,451.39,15517.86,2312.5,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20140906_0930,NRSDAR20140906_0930_PHYCYTWC_01,WC,2014-09-06 19:02:00,1,303.33,22201.11,3466.67,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20140906_0930,NRSDAR20140906_0930_PHYCYTWC_02,WC,2014-09-06 19:02:00,2,475.82,14631.37,3077.94,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20141130,NRSDAR20141130_PHYCYTWC_01,WC,2014-12-01 20:34:00,1,609.64,43931.03,1499.23,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20141130,NRSDAR20141130_PHYCYTWC_02,WC,2014-12-01 20:34:00,2,640.37,55847.04,1617.78,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150202_2130,NRSDAR20150202_2130_PHYCYTWC_01,WC,2015-02-03 07:00:00,1,947.92,39811,2085.42,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150202_2130,NRSDAR20150202_2130_PHYCYTWC_02,WC,2015-02-03 07:00:00,2,938.89,55608,2383.33,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150203_0030,NRSDAR20150203_0030_PHYCYTWC_01,WC,2015-02-03 10:00:00,1,2100,46664,3422.22,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150203_0030,NRSDAR20150203_0030_PHYCYTWC_02,WC,2015-02-03 10:00:00,2,1685.19,31686,3100.74,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150203_0330,NRSDAR20150203_0330_PHYCYTWC_01,WC,2015-02-03 13:00:00,1,2987.37,32170,3538.89,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150203_0330,NRSDAR20150203_0330_PHYCYTWC_02,WC,2015-02-03 13:00:00,2,1494.69,54514,3033.33,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150203_0630,NRSDAR20150203_0630_PHYCYTWC_01,WC,2015-02-03 16:00:00,1,2573.74,29412,3125.25,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150203_0630,NRSDAR20150203_0630_PHYCYTWC_02,WC,2015-02-03 16:00:00,2,3033.33,29219,1797.53,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150316,NRSDAR20150316_PHYCYTWC_01,WC,2015-03-17 09:17:00,1,1870.56,33265.56,4044.44,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150316,NRSDAR20150316_PHYCYTWC_02,WC,2015-03-17 09:17:00,2,2285.99,35344.93,5187.44,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150505,NRSDAR20150505_PHYCYTWC_01,WC,2015-05-06 09:36:00,1,3336.67,37916.67,2730,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150505,NRSDAR20150505_PHYCYTWC_02,WC,2015-05-06 09:36:00,2,2949.07,33703.7,2527.78,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150803_1932,NRSDAR20150803_1932_PHYCYTWC_02,WC,2015-08-04 05:04:00,2,1853.7,55863.89,5055.56,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150803_1932,NRSDAR20150803_1932_PHYCYTWC_03,WC,2015-08-04 05:04:00,3,2022.22,46511.11,5133.33,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150803_2230,NRSDAR20150803_2230_PHYCYTWC_01,WC,2015-08-04 08:02:00,1,2134.57,40444.44,2808.64,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150803_2230,NRSDAR20150803_2230_PHYCYTWC_02,WC,2015-08-04 08:02:00,2,3145.68,27637.04,3145.68,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150804_0130,NRSDAR20150804_0130_PHYCYTWC_01,WC,2015-08-04 11:05:00,1,2527.78,33366.67,3033.33,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150804_0130,NRSDAR20150804_0130_PHYCYTWC_02,WC,2015-08-04 11:05:00,2,1617.78,33973.33,4145.56,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150804_0430,NRSDAR20150804_0430_PHYCYTWC_01,WC,2015-08-04 14:01:00,1,919.19,47338.38,4595.96,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20150804_0430,NRSDAR20150804_0430_PHYCYTWC_02,WC,2015-08-04 14:01:00,2,1432.41,47437.96,3201.85,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20151117,NRSDAR20151117_PHYCYTWC_01,WC,2015-11-18 08:53:00,1,1706.25,100542.36,6066.67,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20151117,NRSDAR20151117_PHYCYTWC_02,WC,2015-11-18 08:53:00,2,1516.67,102223.33,6319.44,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160201_2130,NRSDAR20160201_2130_PHYCYTWC_01,WC,2016-02-02 07:00:00,1,1308.5,83981.7,4520.26,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160201_2130,NRSDAR20160201_2130_PHYCYTWC_02,WC,2016-02-02 07:00:00,2,2464.58,85818.06,6129.86,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160202_0030,NRSDAR20160202_0030_PHYCYTWC_01,WC,2016-02-02 10:01:00,1,2730,82001.11,4651.11,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160202_0030,NRSDAR20160202_0030_PHYCYTWC_02,WC,2016-02-02 10:01:00,2,2696.3,76732.1,3932.1,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160202_0330,NRSDAR20160202_0330_PHYCYTWC_01,WC,2016-02-02 13:01:00,1,1788.89,80422.22,4744.44,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160202_0330,NRSDAR20160202_0330_PHYCYTWC_02,WC,2016-02-02 13:01:00,2,2255.56,85944.44,3966.67,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160202_0630,NRSDAR20160202_0630_PHYCYTWC_01,WC,2016-02-02 16:00:00,1,1843.79,97185.62,4460.78,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160202_0630,NRSDAR20160202_0630_PHYCYTWC_02,WC,2016-02-02 16:00:00,2,5650.33,92070.59,8386.27,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160530,NRSDAR20160530_PHYCYTWC_01,WC,2016-05-31 08:13:00,1,1538.65,115222.71,2945.41,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160530,NRSDAR20160530_PHYCYTWC_02,WC,2016-05-31 08:13:00,2,1390.28,113328.7,3412.5,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160723,NRSDAR20160723_PHYCYTWC_01,WC,2016-07-24 08:14:00,1,1095.37,48870.37,5729.63,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160723,NRSDAR20160723_PHYCYTWC_02,WC,2016-07-24 08:14:00,2,1011.11,55021.3,5392.59,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160724_0130,NRSDAR20160724_0130_PHYCYTWC_01,WC,2016-07-24 11:01:00,1,758.33,46595.37,5139.81,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160724_0130,NRSDAR20160724_0130_PHYCYTWC_02,WC,2016-07-24 11:01:00,2,388.89,47133.33,4511.11,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160724_0430,NRSDAR20160724_0430_PHYCYTWC_01,WC,2016-07-24 14:00:00,1,421.3,49712.96,5476.85,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160724_0430,NRSDAR20160724_0430_PHYCYTWC_02,WC,2016-07-24 14:00:00,2,433.33,52288.89,4983.33,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160724_0730,NRSDAR20160724_0730_PHYCYTWC_01,WC,2016-07-24 17:07:00,1,866.67,54527.78,4766.67,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20160724_0730,NRSDAR20160724_0730_PHYCYTWC_02,WC,2016-07-24 17:07:00,2,404.44,55004.44,5055.56,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20161107,NRSDAR20161107_PHYCYTWC_01,WC,2016-11-08 08:21:00,1,2857.49,105771.01,7209.66,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20161107,NRSDAR20161107_PHYCYTWC_02,WC,2016-11-08 08:21:00,2,2725.6,112980.68,6286.47,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
DAR20170202_2130,NRSDAR20170202_2130_PHYCYTWC_01,WC,2017-02-03 07:00:00,1,2022.22,66971.24,8921.57,1,1,1,,CSIRO,,Dion Frampton,25,1 um fluorescent beads (Fluoresbrite YG Microspheres),Cytobuoy CytoSub CS-1075,,488 nm & 552 nm,closed sheath (picoplankton),100,120,,
