I_SAMPLE_ID,TRIP_CODE,SCIENTIFICNAME,SPCODE,TAXON_COUNT,COMMENTS
20,Ch189,Scorpaenidae - undifferentiated,37287900,1,
20,Ch189,Superclass Pisces - undifferentiated,37000000,4,Unidentified as too damaged or unknown
20,Ch189,Thyrsites atun,37439001,2,
20,Ch189,Trachurus declivis,37337002,37,
21,Ch189,Clupeidae - undifferentiated,37085922,5,
21,Ch189,Lophonectes gallus,37460001,1,
21,Ch189,Myctophidae - undifferentiated,37122000,3,
21,Ch189,Trachurus declivis,37337002,1,
22,Ch189,Lepidotrigla spp.,37288901,1,
22,Ch189,Lophonectes gallus,37460001,1,
22,Ch189,Moridae - undifferentiated,37224903,1,
22,Ch189,Scorpaenidae - undifferentiated,37287900,1,
22,Ch189,Superclass Pisces - undifferentiated,37000000,7,Unidentified as too damaged or unknown
22,Ch189,Thyrsites atun,37439001,2,
22,Ch189,Trachurus declivis,37337002,3,
23,Ch189,Clinidae - undifferentiated,37416000,1,
23,Ch189,Clupeidae - undifferentiated,37085922,1,
23,Ch189,Engraulis australis,37086001,3,
23,Ch189,Myctophidae - undifferentiated,37122000,1,
24,Ch189,Callionymidae - undifferentiated,37427917,1,
24,Ch189,Engraulis australis,37086001,6,
24,Ch189,Scorpaenidae - undifferentiated,37287900,1,
25,Ch189,Clupeidae - undifferentiated,37085922,2,
25,Ch189,Myctophidae - undifferentiated,37122000,1,
25,Ch189,Superclass Pisces - undifferentiated,37000000,3,Unidentified as too damaged or unknown
25,Ch189,Trachurus declivis,37337002,3,
26,Ch189,Callionymidae - undifferentiated,37427917,1,
26,Ch189,Gonostomatidae - undifferentiated,37106912,1,
26,Ch189,Lepidotrigla spp.,37288901,1,
26,Ch189,Lophonectes gallus,37460001,7,
26,Ch189,Monacanthidae - undifferentiated,37465903,6,
26,Ch189,Mugilidae - undifferentiated,37381000,3,
26,Ch189,Platycephalidae - undifferentiated,37296900,11,
26,Ch189,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
26,Ch189,Syngnathidae - undifferentiated,37282000,1,
26,Ch189,Thyrsites atun,37439001,1,
26,Ch189,Trachurus declivis,37337002,1,
26,Ch189,Triglidae & Peristediidae - undifferentiated,37288000,1,
27,Ch189,Cheilodactylus spp.,37377902,1,
27,Ch189,Lepidotrigla spp.,37288901,3,
27,Ch189,Lophonectes gallus,37460001,8,
27,Ch189,Monacanthidae - undifferentiated,37465903,10,
27,Ch189,Order Anguilliformes - undifferentiated,37990025,1,
27,Ch189,Pempheris spp.,37357903,2,
27,Ch189,Platycephalidae - undifferentiated,37296900,18,
27,Ch189,Superclass Pisces - undifferentiated,37000000,35,Unidentified as too damaged or unknown
27,Ch189,Thyrsites atun,37439001,4,
27,Ch189,Trachurus declivis,37337002,2,
28,Ch189,Callionymidae - undifferentiated,37427917,1,
28,Ch189,Clupeidae - undifferentiated,37085922,1,
28,Ch189,Lepidotrigla spp.,37288901,3,
28,Ch189,Lophonectes gallus,37460001,12,
28,Ch189,Monacanthidae - undifferentiated,37465903,4,
28,Ch189,Myctophidae - undifferentiated,37122000,1,
28,Ch189,Platycephalidae - undifferentiated,37296900,6,
28,Ch189,Superclass Pisces - undifferentiated,37000000,18,Unidentified as too damaged or unknown
28,Ch189,Trachurus declivis,37337002,30,
29,Ch189,Cheilodactylus spp.,37377902,2,
29,Ch189,Lepidotrigla spp.,37288901,6,
29,Ch189,Lophonectes gallus,37460001,4,
29,Ch189,Monacanthidae - undifferentiated,37465903,2,
29,Ch189,Myctophidae - undifferentiated,37122000,2,
29,Ch189,Order Anguilliformes - undifferentiated,37990025,2,
29,Ch189,Platycephalidae - undifferentiated,37296900,13,
29,Ch189,Superclass Pisces - undifferentiated,37000000,9,Unidentified as too damaged or unknown
29,Ch189,Trachurus declivis,37337002,205,
30,Ch189,Cheilodactylus spp.,37377902,4,
30,Ch189,Myctophidae - undifferentiated,37122000,3,
30,Ch189,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
30,Ch189,Trachurus declivis,37337002,19,
31,Ch189,Callionymidae - undifferentiated,37427917,1,
31,Ch189,Scorpaenidae - undifferentiated,37287900,1,
31,Ch189,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
32,Ch189,Myctophidae - undifferentiated,37122000,1,
33,Ch189,Callionymidae - undifferentiated,37427917,1,
33,Ch189,Lepidotrigla spp.,37288901,3,
33,Ch189,Lophonectes gallus,37460001,3,
33,Ch189,Moridae - undifferentiated,37224903,11,
33,Ch189,Platycephalidae - undifferentiated,37296900,1,
33,Ch189,Scorpaenidae - undifferentiated,37287900,4,
33,Ch189,Trachurus declivis,37337002,1,
34,Ch189,Callionymidae - undifferentiated,37427917,3,
34,Ch189,Clupeidae - undifferentiated,37085922,1,
34,Ch189,Lepidotrigla spp.,37288901,1,
34,Ch189,Moridae - undifferentiated,37224903,1,
34,Ch189,Myctophidae - undifferentiated,37122000,1,
34,Ch189,Tetragonurus spp.,37449901,1,
34,Ch189,Thyrsites atun,37439001,2,
34,Ch189,Trachurus declivis,37337002,9,
34,Ch189,Zeidae - undifferentiated,37264906,1,
35,Ch189,Lophonectes gallus,37460001,6,
35,Ch189,Monacanthidae - undifferentiated,37465903,1,
35,Ch189,Moridae - undifferentiated,37224903,1,
35,Ch189,Scorpaenidae - undifferentiated,37287900,26,
35,Ch189,Superclass Pisces - undifferentiated,37000000,15,Unidentified as too damaged or unknown
35,Ch189,Tetragonurus spp.,37449901,2,
35,Ch189,Thyrsites atun,37439001,2,
35,Ch189,Trachurus declivis,37337002,300,
35,Ch189,Zeidae - undifferentiated,37264906,3,
36,Ch189,Cheilodactylus spp.,37377902,2,
36,Ch189,Clinidae - undifferentiated,37416000,1,
36,Ch189,Lepidotrigla spp.,37288901,2,
36,Ch189,Lophonectes gallus,37460001,15,
36,Ch189,Monacanthidae - undifferentiated,37465903,24,
36,Ch189,Order Anguilliformes - undifferentiated,37990025,2,
36,Ch189,Platycephalidae - undifferentiated,37296900,20,
36,Ch189,Superclass Pisces - undifferentiated,37000000,23,Unidentified as too damaged or unknown
36,Ch189,Thyrsites atun,37439001,12,
36,Ch189,Trachurus declivis,37337002,700,
37,Ch189,Engraulis australis,37086001,3,
37,Ch189,Lophonectes gallus,37460001,2,
37,Ch189,Monacanthidae - undifferentiated,37465903,1,
37,Ch189,Myctophidae - undifferentiated,37122000,3,
37,Ch189,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
37,Ch189,Trachurus declivis,37337002,5,
38,Ch189,Callionymidae - undifferentiated,37427917,3,
38,Ch189,Cheilodactylus spp.,37377902,1,
38,Ch189,Monacanthidae - undifferentiated,37465903,1,
38,Ch189,Moridae - undifferentiated,37224903,1,
38,Ch189,Mugilidae - undifferentiated,37381000,1,
38,Ch189,Myctophidae - undifferentiated,37122000,2,
38,Ch189,Superclass Pisces - undifferentiated,37000000,5,Unidentified as too damaged or unknown
38,Ch189,Thyrsites atun,37439001,1,
38,Ch189,Trachurus declivis,37337002,55,
39,Ch189,Callionymidae - undifferentiated,37427917,1,
39,Ch189,Mugilidae - undifferentiated,37381000,1,
39,Ch189,Myctophidae - undifferentiated,37122000,2,
39,Ch189,Platycephalidae - undifferentiated,37296900,2,
39,Ch189,Superclass Pisces - undifferentiated,37000000,11,Unidentified as too damaged or unknown
39,Ch189,Trachurus declivis,37337002,31,
39,Ch189,Zeidae - undifferentiated,37264906,1,
40,Ch189,Callionymidae - undifferentiated,37427917,1,
40,Ch189,Clupeidae - undifferentiated,37085922,1,
40,Ch189,Lepidotrigla spp.,37288901,2,
40,Ch189,Lophonectes gallus,37460001,3,
40,Ch189,Myctophidae - undifferentiated,37122000,2,
40,Ch189,Platycephalidae - undifferentiated,37296900,13,
40,Ch189,Scorpaenidae - undifferentiated,37287900,15,
40,Ch189,Superclass Pisces - undifferentiated,37000000,10,Unidentified as too damaged or unknown
40,Ch189,Trachurus declivis,37337002,143,
41,Ch189,Mugilidae - undifferentiated,37381000,3,
41,Ch189,Scorpaenidae - undifferentiated,37287900,15,
41,Ch189,Superclass Pisces - undifferentiated,37000000,3,Unidentified as too damaged or unknown
41,Ch189,Trachurus declivis,37337002,1,
42,Ch189,Lepidotrigla spp.,37288901,3,
42,Ch189,Monacanthidae - undifferentiated,37465903,3,
42,Ch189,Moridae - undifferentiated,37224903,6,
42,Ch189,Platycephalidae - undifferentiated,37296900,2,
42,Ch189,Scorpaenidae - undifferentiated,37287900,15,
42,Ch189,Superclass Pisces - undifferentiated,37000000,8,Unidentified as too damaged or unknown
42,Ch189,Zeidae - undifferentiated,37264906,1,
43,Ch189,Lophonectes gallus,37460001,5,
43,Ch189,Order Anguilliformes - undifferentiated,37990025,1,
43,Ch189,Platycephalidae - undifferentiated,37296900,30,
43,Ch189,Superclass Pisces - undifferentiated,37000000,8,Unidentified as too damaged or unknown
43,Ch189,Tetragonurus spp.,37449901,15,
43,Ch189,Trachurus declivis,37337002,5,
44,Ch189,Lophonectes gallus,37460001,1,
44,Ch189,Platycephalidae - undifferentiated,37296900,1,
44,Ch189,Thyrsites atun,37439001,1,
45,Ch189,Myctophidae - undifferentiated,37122000,1,
45,Ch189,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
46,Ch189,Clupeidae - undifferentiated,37085922,1,
47,Ch189,Lophonectes gallus,37460001,1,
47,Ch189,Monacanthidae - undifferentiated,37465903,1,
47,Ch189,Platycephalidae - undifferentiated,37296900,12,
48,Ch189,Callionymidae - undifferentiated,37427917,1,
48,Ch189,Lepidotrigla spp.,37288901,1,
48,Ch189,Lophonectes gallus,37460001,2,
48,Ch189,Monacanthidae - undifferentiated,37465903,2,
48,Ch189,Platycephalidae - undifferentiated,37296900,16,
48,Ch189,Superclass Pisces - undifferentiated,37000000,5,Unidentified as too damaged or unknown
48,Ch189,Thyrsites atun,37439001,1,
49,Ch189,Lepidotrigla spp.,37288901,1,
49,Ch189,Lophonectes gallus,37460001,1,
49,Ch189,Monacanthidae - undifferentiated,37465903,3,
49,Ch189,Mugilidae - undifferentiated,37381000,2,
49,Ch189,Platycephalidae - undifferentiated,37296900,1,
49,Ch189,Scorpaenidae - undifferentiated,37287900,2,
49,Ch189,Superclass Pisces - undifferentiated,37000000,6,Unidentified as too damaged or unknown
49,Ch189,Tetragonurus spp.,37449901,1,
49,Ch189,Thyrsites atun,37439001,4,
49,Ch189,Trachurus declivis,37337002,30,
51,Ch190,Myctophidae - undifferentiated,37122000,2,
51,Ch190,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
53,Ch190,Cheilodactylus spp.,37377902,9,
53,Ch190,Clupeidae - undifferentiated,37085922,1,
53,Ch190,Mugilidae - undifferentiated,37381000,1,
53,Ch190,Myctophidae - undifferentiated,37122000,1,
53,Ch190,Scorpaenidae - undifferentiated,37287900,2,
53,Ch190,Trachurus declivis,37337002,1,
54,Ch190,Lophonectes gallus,37460001,1,
54,Ch190,Monacanthidae - undifferentiated,37465903,1,
54,Ch190,Scorpaenidae - undifferentiated,37287900,2,
54,Ch190,Superclass Pisces - undifferentiated,37000000,6,Unidentified as too damaged or unknown
54,Ch190,Syngnathidae - undifferentiated,37282000,1,
54,Ch190,Trachurus declivis,37337002,13,
55,Ch190,Engraulis australis,37086001,3,
55,Ch190,Myctophidae - undifferentiated,37122000,2,
56,Ch190,Myctophidae - undifferentiated,37122000,1,
56,Ch190,Platycephalidae - undifferentiated,37296900,1,
56,Ch190,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
57,Ch190,Cheilodactylus spp.,37377902,3,
57,Ch190,Lepidotrigla spp.,37288901,1,
57,Ch190,Lophonectes gallus,37460001,3,
57,Ch190,Myctophidae - undifferentiated,37122000,2,
57,Ch190,Platycephalidae - undifferentiated,37296900,2,
57,Ch190,Superclass Pisces - undifferentiated,37000000,15,Unidentified as too damaged or unknown
57,Ch190,Thyrsites atun,37439001,2,
57,Ch190,Trachurus declivis,37337002,45,
57,Ch190,Zeidae - undifferentiated,37264906,1,
58,Ch190,Blenniidae - undifferentiated,37408000,3,
58,Ch190,Cheilodactylus spp.,37377902,4,
58,Ch190,Lepidotrigla spp.,37288901,3,
58,Ch190,Lophonectes gallus,37460001,4,
58,Ch190,Monacanthidae - undifferentiated,37465903,1,
58,Ch190,Moridae - undifferentiated,37224903,3,
58,Ch190,Myctophidae - undifferentiated,37122000,2,
58,Ch190,Order Anguilliformes - undifferentiated,37990025,1,
58,Ch190,Platycephalidae - undifferentiated,37296900,12,
58,Ch190,Superclass Pisces - undifferentiated,37000000,8,Unidentified as too damaged or unknown
58,Ch190,Trachurus declivis,37337002,73,
59,Ch190,Lepidotrigla spp.,37288901,2,
59,Ch190,Lophonectes gallus,37460001,4,
59,Ch190,Monacanthidae - undifferentiated,37465903,15,
59,Ch190,Pempheris spp.,37357903,2,
59,Ch190,Platycephalidae - undifferentiated,37296900,7,
59,Ch190,Scorpaenidae - undifferentiated,37287900,7,
59,Ch190,Superclass Pisces - undifferentiated,37000000,16,Unidentified as too damaged or unknown
59,Ch190,Trachurus declivis,37337002,7,
60,Ch190,Cheilodactylus spp.,37377902,1,
60,Ch190,Lepidotrigla spp.,37288901,1,
60,Ch190,Lophonectes gallus,37460001,9,
60,Ch190,Monacanthidae - undifferentiated,37465903,5,
60,Ch190,Moridae - undifferentiated,37224903,1,
60,Ch190,Mugilidae - undifferentiated,37381000,3,
60,Ch190,Myctophidae - undifferentiated,37122000,4,
60,Ch190,Order Anguilliformes - undifferentiated,37990025,4,
60,Ch190,Platycephalidae - undifferentiated,37296900,22,
60,Ch190,Superclass Pisces - undifferentiated,37000000,13,Unidentified as too damaged or unknown
60,Ch190,Thyrsites atun,37439001,5,
60,Ch190,Trachurus declivis,37337002,371,
60,Ch190,Triglidae & Peristediidae - undifferentiated,37288000,3,
61,Ch190,Cheilodactylus spp.,37377902,2,
61,Ch190,Gobiidae - undifferentiated,37428000,2,
61,Ch190,Lophonectes gallus,37460001,2,
61,Ch190,Moridae - undifferentiated,37224903,1,
61,Ch190,Myctophidae - undifferentiated,37122000,2,
61,Ch190,Platycephalidae - undifferentiated,37296900,3,
61,Ch190,Superclass Pisces - undifferentiated,37000000,4,Unidentified as too damaged or unknown
61,Ch190,Thyrsites atun,37439001,1,
61,Ch190,Trachurus declivis,37337002,6,
61,Ch190,Zeidae - undifferentiated,37264906,2,
62,Ch190,Myctophidae - undifferentiated,37122000,1,
62,Ch190,Trachurus declivis,37337002,1,
63,Ch190,Cheilodactylus spp.,37377902,8,
63,Ch190,Gonostomatidae - undifferentiated,37106912,1,
63,Ch190,Lepidotrigla spp.,37288901,3,
63,Ch190,Lophonectes gallus,37460001,7,
63,Ch190,Monacanthidae - undifferentiated,37465903,3,
63,Ch190,Mugilidae - undifferentiated,37381000,3,
63,Ch190,Myctophidae - undifferentiated,37122000,6,
63,Ch190,Order Anguilliformes - undifferentiated,37990025,3,
63,Ch190,Platycephalidae - undifferentiated,37296900,11,
63,Ch190,Superclass Pisces - undifferentiated,37000000,30,Unidentified as too damaged or unknown
63,Ch190,Thyrsites atun,37439001,6,
63,Ch190,Trachurus declivis,37337002,302,
63,Ch190,Zeidae - undifferentiated,37264906,1,
64,Ch190,Callionymidae - undifferentiated,37427917,1,
64,Ch190,Carapidae - undifferentiated,37229000,1,
64,Ch190,Cheilodactylus spp.,37377902,5,
64,Ch190,Lepidotrigla spp.,37288901,36,
64,Ch190,Lophonectes gallus,37460001,17,
64,Ch190,Monacanthidae - undifferentiated,37465903,2,
64,Ch190,Moridae - undifferentiated,37224903,1,
64,Ch190,Mugilidae - undifferentiated,37381000,1,
64,Ch190,Myctophidae - undifferentiated,37122000,1,
64,Ch190,Order Anguilliformes - undifferentiated,37990025,1,
64,Ch190,Pempheris spp.,37357903,1,
64,Ch190,Platycephalidae - undifferentiated,37296900,24,
64,Ch190,Scorpaenidae - undifferentiated,37287900,28,
64,Ch190,Superclass Pisces - undifferentiated,37000000,16,Unidentified as too damaged or unknown
64,Ch190,Syngnathidae - undifferentiated,37282000,1,
64,Ch190,Tetragonurus spp.,37449901,1,
64,Ch190,Thyrsites atun,37439001,2,
64,Ch190,Trachurus declivis,37337002,139,
64,Ch190,Zeidae - undifferentiated,37264906,1,
65,Ch190,Cheilodactylus spp.,37377902,2,
65,Ch190,Lepidotrigla spp.,37288901,1,
65,Ch190,Lophonectes gallus,37460001,6,
65,Ch190,Monacanthidae - undifferentiated,37465903,1,
65,Ch190,Myctophidae - undifferentiated,37122000,2,
65,Ch190,Platycephalidae - undifferentiated,37296900,21,
65,Ch190,Superclass Pisces - undifferentiated,37000000,5,Unidentified as too damaged or unknown
65,Ch190,Thyrsites atun,37439001,2,
65,Ch190,Trachurus declivis,37337002,2,
66,Ch190,Cheilodactylus spp.,37377902,2,
66,Ch190,Clupeidae - undifferentiated,37085922,3,
66,Ch190,Lepidotrigla spp.,37288901,3,
66,Ch190,Lophonectes gallus,37460001,2,
66,Ch190,Monacanthidae - undifferentiated,37465903,1,
66,Ch190,Myctophidae - undifferentiated,37122000,1,
66,Ch190,Platycephalidae - undifferentiated,37296900,13,
66,Ch190,Superclass Pisces - undifferentiated,37000000,30,Unidentified as too damaged or unknown
66,Ch190,Thyrsites atun,37439001,2,
66,Ch190,Trachurus declivis,37337002,31,
67,Ch190,Callionymidae - undifferentiated,37427917,2,
67,Ch190,Lepidotrigla spp.,37288901,4,
67,Ch190,Lophonectes gallus,37460001,3,
67,Ch190,Monacanthidae - undifferentiated,37465903,3,
67,Ch190,Platycephalidae - undifferentiated,37296900,17,
67,Ch190,Thyrsites atun,37439001,4,
67,Ch190,Trachurus declivis,37337002,89,
68,Ch190,Cheilodactylus spp.,37377902,1,
68,Ch190,Moridae - undifferentiated,37224903,1,
68,Ch190,Myctophidae - undifferentiated,37122000,1,
68,Ch190,Scorpaenidae - undifferentiated,37287900,1,
68,Ch190,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
69,Ch190,Myctophidae - undifferentiated,37122000,2,
70,Ch190,Myctophidae - undifferentiated,37122000,1,
71,Ch190,Moridae - undifferentiated,37224903,1,
71,Ch190,Order Anguilliformes - undifferentiated,37990025,1,
71,Ch190,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
71,Ch190,Thyrsites atun,37439001,1,
71,Ch190,Trachurus declivis,37337002,30,
72,Ch190,Callionymidae - undifferentiated,37427917,4,
72,Ch190,Clinidae - undifferentiated,37416000,2,
72,Ch190,Monacanthidae - undifferentiated,37465903,6,
72,Ch190,Myctophidae - undifferentiated,37122000,8,
72,Ch190,Scorpaenidae - undifferentiated,37287900,2,
72,Ch190,Superclass Pisces - undifferentiated,37000000,16,Unidentified as too damaged or unknown
72,Ch190,Syngnathidae - undifferentiated,37282000,1,
72,Ch190,Trachurus declivis,37337002,2,
73,Ch193,Lophonectes gallus,37460001,1,
73,Ch193,Mugilidae - undifferentiated,37381000,1,
73,Ch193,Scorpaenidae - undifferentiated,37287900,1,
73,Ch193,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
73,Ch193,Trachurus declivis,37337002,4,
75,Ch193,Cheilodactylus spp.,37377902,1,
75,Ch193,Myctophidae - undifferentiated,37122000,1,
75,Ch193,Trachurus declivis,37337002,1,
76,Ch193,Callionymidae - undifferentiated,37427917,1,
76,Ch193,Cheilodactylus spp.,37377902,1,
76,Ch193,Lepidotrigla spp.,37288901,1,
76,Ch193,Lophonectes gallus,37460001,3,
76,Ch193,Mugilidae - undifferentiated,37381000,1,
76,Ch193,Myctophidae - undifferentiated,37122000,2,
76,Ch193,Order Anguilliformes - undifferentiated,37990025,2,
76,Ch193,Platycephalidae - undifferentiated,37296900,2,
76,Ch193,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
76,Ch193,Trachurus declivis,37337002,2,
77,Ch193,Lepidotrigla spp.,37288901,1,
77,Ch193,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
77,Ch193,Thyrsites atun,37439001,1,
78,Ch193,Lophonectes gallus,37460001,1,
78,Ch193,Scorpaenidae - undifferentiated,37287900,2,
78,Ch193,Thyrsites atun,37439001,2,
78,Ch193,Trachurus declivis,37337002,2,
79,Ch193,Lepidotrigla spp.,37288901,3,
79,Ch193,Myctophidae - undifferentiated,37122000,1,
79,Ch193,Platycephalidae - undifferentiated,37296900,3,
79,Ch193,Thyrsites atun,37439001,1,
80,Ch193,Trachurus declivis,37337002,1,
81,Ch193,Cheilodactylus spp.,37377902,2,
81,Ch193,Myctophidae - undifferentiated,37122000,3,
81,Ch193,Superclass Pisces - undifferentiated,37000000,4,Unidentified as too damaged or unknown
81,Ch193,Trachurus declivis,37337002,1,
82,Ch193,Lophonectes gallus,37460001,2,
83,Ch193,Mugilidae - undifferentiated,37381000,1,
83,Ch193,Myctophidae - undifferentiated,37122000,2,
83,Ch193,Superclass Pisces - undifferentiated,37000000,4,Unidentified as too damaged or unknown
83,Ch193,Trachurus declivis,37337002,3,
84,Ch193,Lepidotrigla spp.,37288901,3,
84,Ch193,Lophonectes gallus,37460001,1,
84,Ch193,Myctophidae - undifferentiated,37122000,1,
84,Ch193,Pempheris spp.,37357903,1,
84,Ch193,Scorpaenidae - undifferentiated,37287900,1,
84,Ch193,Superclass Pisces - undifferentiated,37000000,3,Unidentified as too damaged or unknown
84,Ch193,Trachurus declivis,37337002,1,
84,Ch193,Tripterygiidae - undifferentiated,37415000,1,
85,Ch193,Callionymidae - undifferentiated,37427917,1,
85,Ch193,Lophonectes gallus,37460001,1,
85,Ch193,Myctophidae - undifferentiated,37122000,2,
85,Ch193,Scorpaenidae - undifferentiated,37287900,1,
85,Ch193,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
85,Ch193,Trachurus declivis,37337002,7,
86,Ch193,Myctophidae - undifferentiated,37122000,1,
86,Ch193,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
86,Ch193,Trachurus declivis,37337002,1,
87,Ch193,Cheilodactylus spp.,37377902,1,
88,Ch193,Callionymidae - undifferentiated,37427917,1,
88,Ch193,Lepidotrigla spp.,37288901,4,
88,Ch193,Lophonectes gallus,37460001,1,
88,Ch193,Myctophidae - undifferentiated,37122000,1,
88,Ch193,Pempheris spp.,37357903,7,
88,Ch193,Scorpaenidae - undifferentiated,37287900,3,
88,Ch193,Superclass Pisces - undifferentiated,37000000,1,Unidentified as too damaged or unknown
88,Ch193,Trachurus declivis,37337002,3,
89,Ch193,Myctophidae - undifferentiated,37122000,1,
90,Ch193,Callionymidae - undifferentiated,37427917,2,
90,Ch193,Cheilodactylus spp.,37377902,1,
90,Ch193,Trachurus declivis,37337002,1,
91,Ch193,Callionymidae - undifferentiated,37427917,1,
91,Ch193,Carapidae - undifferentiated,37229000,1,
91,Ch193,Lophonectes gallus,37460001,2,
91,Ch193,Monacanthidae - undifferentiated,37465903,1,
91,Ch193,Platycephalidae - undifferentiated,37296900,1,
91,Ch193,Scorpaenidae - undifferentiated,37287900,1,
91,Ch193,Trachurus declivis,37337002,1,
92,Ch193,Callionymidae - undifferentiated,37427917,1,
92,Ch193,Carapidae - undifferentiated,37229000,1,
92,Ch193,Lophonectes gallus,37460001,4,
92,Ch193,Moridae - undifferentiated,37224903,1,
92,Ch193,Order Anguilliformes - undifferentiated,37990025,2,
92,Ch193,Superclass Pisces - undifferentiated,37000000,2,Unidentified as too damaged or unknown
92,Ch193,Trachurus declivis,37337002,6,
92,Ch193,Triglidae & Peristediidae - undifferentiated,37288000,1,
93,Ch193,Callionymidae - undifferentiated,37427917,1,
