StationCode,SampleDateLocal,SampleDepth_m,Nitrate_umolL,Silicate_umolL,Phosphate_umolL,Salinity_psu,Temperature_degC,SOI
MAI,1947-01-30,50,2.8,,0.1,34.938,13.4,-4.9
MAI,1947-02-27,0,0.7,,0.02,34.956,16.75,-4.1
MAI,1947-02-27,20,0.9,,0.03,34.938,15.58,-4.1
MAI,1947-02-27,50,0.9,,0.03,34.938,15.25,-4.1
MAI,1947-04-10,0,0.7,,0.03,34.884,15.21,-4.6
MAI,1947-04-10,20,0.2,,0.03,,14.89,-4.6
MAI,1947-04-10,50,0.2,,0.01,34.92,14.88,-4.6
MAI,1947-05-21,0,2.7,,0.01,35.01,14.1,-13.7
MAI,1947-05-21,20,2.7,,0.03,35.046,14.15,-13.7
MAI,1947-05-21,50,2.7,,0.03,35.083,14.1,-13.7
MAI,1947-06-12,0,3.2,,0.07,,13,2.6
MAI,1947-06-12,20,3.7,,0.03,,13.05,2.6
MAI,1947-06-12,50,3.7,,0.03,,13.25,2.6
MAI,1947-07-23,0,2.3,,0.01,,12.45,9.4
MAI,1947-07-23,20,1.7,,0.01,,12.3,9.4
MAI,1947-07-23,50,1.7,,0.01,,12.2,9.4
MAI,1947-08-18,0,2.9,,0.08,35.065,11.75,7.2
MAI,1947-08-18,20,3.4,,0.1,35.101,11,7.2
MAI,1947-08-18,50,2.4,,0.07,35.101,11.45,7.2
MAI,1947-09-03,0,1,,0.12,34.83,11.45,11.7
MAI,1947-09-03,20,0.7,,0.1,34.866,11.1,11.7
MAI,1947-09-03,50,0.7,,0.11,34.938,11.4,11.7
MAI,1947-10-26,0,1.4,,0.15,35.01,12.2,-1.9
MAI,1947-10-26,20,4.7,,0.14,35.01,11.7,-1.9
MAI,1947-10-26,50,4.2,,0.14,35.046,11.55,-1.9
MAI,1948-01-27,0,1.1,,0.05,34.902,15.72,-3
MAI,1948-01-27,20,1.1,,0.09,35.028,14.8,-3
MAI,1948-01-27,50,1.6,,0.11,35.01,14,-3
MAI,1948-02-24,0,0.6,,0.05,35.01,15.8,-2.7
MAI,1948-02-24,20,0.4,,0.05,35.101,14.95,-2.7
MAI,1948-02-24,50,0.5,,0.07,35.065,14.5,-2.7
MAI,1948-03-23,0,0.5,,0.07,35.028,15.05,-4.1
MAI,1948-03-23,20,0.5,,0.06,35.046,14.85,-4.1
MAI,1948-03-23,50,0.6,,0.07,34.992,14.45,-4.1
MAI,1948-04-27,0,1.1,,0.06,35.01,13.65,2.8
MAI,1948-04-27,20,0,,0.08,35.028,13.45,2.8
MAI,1948-04-27,50,0.7,,0.1,35.028,13.45,2.8
MAI,1948-06-16,0,1.6,,0.08,34.884,11.65,-4.7
MAI,1948-06-16,20,1.9,,0.07,34.866,11.69,-4.7
MAI,1948-06-16,50,1.4,,0.09,34.902,11.59,-4.7
MAI,1948-07-11,0,9.3,,0.13,34.92,11.49,0.9
MAI,1948-07-11,20,0,,0.12,35.028,11.51,0.9
MAI,1948-07-11,50,4.6,,0.11,35.01,11.45,0.9
MAI,1948-08-11,0,1.5,,0.13,35.046,11.05,-4.4
MAI,1948-08-11,20,1.6,,0.11,35.01,11.2,-4.4
MAI,1948-08-11,50,2.8,,0.12,34.992,11.2,-4.4
MAI,1948-10-15,0,1.2,,0.09,,11.6,6.1
MAI,1948-10-15,20,0.9,,0.1,35.046,10.8,6.1
MAI,1948-10-15,50,1,,0.1,35.046,10.57,6.1
MAI,1948-11-06,0,0,,0.1,35.01,12.2,4.6
MAI,1948-11-06,20,0.6,,0.1,35.01,11.65,4.6
MAI,1948-11-06,50,1.1,,0.13,35.046,11.6,4.6
MAI,1948-12-15,0,0.1,,0.06,34.866,13.59,-5.5
MAI,1948-12-15,20,0.8,,0.08,34.974,13.41,-5.5
MAI,1948-12-15,50,0.9,,0.06,,12.66,-5.5
MAI,1949-01-22,0,0,,0.03,35.083,14.32,-7.3
MAI,1949-01-22,20,0,,0.03,35.101,14.02,-7.3
MAI,1949-01-22,50,0,,0.06,35.101,13.88,-7.3
MAI,1949-04-05,0,0.3,,0.11,35.317,15.49,1.2
MAI,1949-04-05,20,0.5,,0.05,35.317,15.49,1.2
MAI,1949-04-05,50,0,,0.1,35.317,15.3,1.2
MAI,1949-05-08,0,0.9,,0.12,35.046,12.48,-5.8
MAI,1949-05-08,20,1.4,,0.09,35.01,12.44,-5.8
MAI,1949-05-08,50,1.8,,0.15,35.028,12.47,-5.8
MAI,1949-10-28,0,0.7,,0.13,35.028,11.58,5.4
MAI,1949-10-28,20,1.3,,0.14,35.01,11.49,5.4
MAI,1949-10-28,50,1.4,,0.14,35.01,11.49,5.4
MAI,1949-12-16,0,0,,0.08,34.83,15.15,7.7
MAI,1949-12-16,50,0,,0.06,34.866,12.8,7.7
MAI,1950-03-08,0,1,,0.15,35.119,16,17.6
MAI,1950-03-08,20,1.1,,0.07,35.119,15.5,17.6
MAI,1950-03-08,50,2.4,,0.15,35.083,14.5,17.6
MAI,1950-05-01,0,1.1,,0.08,35.173,14.08,7.6
MAI,1950-05-01,20,1,,0.11,35.101,14.05,7.6
MAI,1950-05-01,50,1.6,,0.08,,14.5,7.6
MAI,1950-07-04,0,1.1,,0.15,34.92,12.42,
MAI,1950-07-04,20,1.4,,0.08,34.902,12.7,
MAI,1950-07-04,50,2.1,,0.1,35.065,12.58,
MAI,1950-07-23,0,3.8,,0.09,35.101,12.5,
MAI,1950-07-23,20,3.3,,0.07,35.245,12,
MAI,1950-07-23,50,2.6,,0.07,35.209,12,
MAI,1950-08-10,0,2.1,,0.09,35.209,12.4,12.3
MAI,1950-08-10,20,2,,0.11,35.191,12.3,12.3
MAI,1950-08-10,50,3.6,,0.1,35.227,12.3,12.3
MAI,1950-10-01,0,1.7,,0.11,34.938,12.25,17.1
MAI,1950-10-01,20,3.2,,0.07,35.191,12.6,17.1
MAI,1950-10-01,50,1.3,,0.1,35.245,13.1,17.1
MAI,1950-11-28,0,0,,0.15,34.902,14.4,12.5
MAI,1950-11-28,20,0,,,,14.3,12.5
MAI,1950-11-28,50,0,,0.22,35.01,13.75,12.5
MAI,1950-12-13,0,0,,0.02,35.155,14.65,
MAI,1950-12-13,20,0,,0.01,35.046,14.4,
MAI,1950-12-13,50,0,,0.06,35.101,14.4,
MAI,1951-02-28,0,0,,0.11,35.209,17.4,9.6
MAI,1951-02-28,20,0.3,,0.07,35.209,17.1,9.6
MAI,1951-02-28,50,0.8,,0.12,35.173,15.4,9.6
MAI,1951-04-18,0,1,,0.12,35.083,14.4,-1.3
MAI,1951-04-18,20,0.8,,0.07,35.065,14.38,-1.3
MAI,1951-04-18,50,0,,0.06,35.065,14.3,-1.3
MAI,1951-05-19,0,1.8,,0.08,35.245,13.7,-6.6
MAI,1951-05-19,20,0.8,,0.1,35.209,13.6,-6.6
MAI,1951-05-19,50,1.2,,0.07,35.155,13.65,-6.6
MAI,1951-07-05,0,2.2,,0.11,35.155,13.25,-8.2
MAI,1951-07-05,50,1.1,,0.06,35.101,13.25,-8.2
MAI,1951-10-04,0,0,,0.18,35.028,12.6,-8
MAI,1951-10-04,20,0.8,,0.16,35.01,11.9,-8
MAI,1951-10-04,50,0.8,,0.17,35.028,11.75,-8
MAI,1951-11-15,0,3.4,,0.23,35.046,12.15,-3.4
MAI,1951-11-15,20,1.4,,0.08,35.01,12,-3.4
MAI,1951-11-15,50,2.4,,0.13,35.046,12,-3.4
MAI,1952-02-26,0,0.7,,0,35.407,16.5,-7.9
MAI,1952-02-26,20,0.6,,0,35.371,15.7,-7.9
MAI,1952-02-26,50,0.6,,0,35.353,15.6,-7.9
MAI,1952-03-17,0,0.5,,0.17,35.444,16.05,0.2
MAI,1952-03-17,20,1.3,,0.12,35.444,15.15,0.2
MAI,1952-03-17,50,1.2,,0.09,35.335,14.6,0.2
MAI,1952-04-01,0,0.8,,0.06,,15.71,-8.8
MAI,1952-04-01,20,1.6,,0.06,,15.35,-8.8
MAI,1952-04-01,50,0.8,,0.1,,15.48,-8.8
MAI,1952-05-14,0,0.5,,0.07,35.389,13.5,6
MAI,1952-05-14,50,0,,0.07,35.426,14,6
MAI,1952-07-03,0,0.9,,0.14,35.065,12,3.5
MAI,1952-07-03,50,1.2,,0.13,35.046,12,3.5
MAI,1952-08-07,0,3.5,,0.12,35.101,11.7,-3.7
MAI,1952-08-07,20,5.1,,0.1,35.101,11.45,-3.7
MAI,1952-08-07,50,2.3,,0.09,35.101,11.45,-3.7
MAI,1952-09-26,0,1.6,,0.1,35.155,11.8,-3.4
MAI,1952-09-26,20,1.6,,0.09,35.155,11.53,-3.4
MAI,1952-09-26,50,0.9,,0.1,35.083,11.53,-3.4
MAI,1952-10-17,0,3.9,,0.12,34.992,11.5,1.8
MAI,1952-10-17,20,3.2,,0.17,34.974,11.4,1.8
MAI,1952-10-17,50,3.9,,0.13,34.956,11.4,1.8
MAI,1952-11-21,0,0.5,,0.07,34.938,12.68,-0.7
MAI,1952-11-21,20,1,,0.08,34.956,12.5,-0.7
MAI,1952-11-21,50,2,,0.17,,11.7,-0.7
MAI,1952-12-04,0,0.3,,0.03,34.992,14.5,-12.6
MAI,1952-12-04,20,0.7,,0.09,35.101,13.5,-12.6
MAI,1952-12-04,50,3.9,,0.12,35.137,11.7,-12.6
MAI,1953-01-23,0,0.5,,0.05,34.992,17.95,2.2
MAI,1953-01-23,20,3.6,,0.11,34.902,14.5,2.2
MAI,1953-01-23,50,2.8,,0.09,34.902,14.5,2.2
MAI,1953-02-11,0,0,,0.04,34.992,15.8,-6
MAI,1953-02-11,20,0,,0.06,34.956,15.8,-6
MAI,1953-02-11,50,0,,0.08,35.046,14.8,-6
MAI,1953-03-13,0,0,,0.05,35.155,16.7,-5.8
MAI,1953-03-13,20,0.6,,0.09,35.173,16.25,-5.8
MAI,1953-03-13,50,2.1,,0.11,35.01,15.38,-5.8
MAI,1953-04-10,0,1.2,,0.06,35.263,15.9,-0.5
MAI,1953-04-10,20,1.7,,0.08,35.245,15.68,-0.5
MAI,1953-04-10,50,1.9,,0.09,35.299,15.65,-0.5
MAI,1953-05-07,0,,,0.07,35.065,13.75,
MAI,1953-05-07,20,,,0.07,35.083,13.85,
MAI,1953-05-07,50,,,0.07,35.119,14,
MAI,1953-06-14,0,2.4,,0.03,35.119,13.1,-2.3
MAI,1953-06-14,20,2.8,,0.02,35.155,13.1,-2.3
MAI,1953-06-14,50,3.6,,0.05,35.137,13,-2.3
MAI,1953-07-27,0,,,0.07,35.227,11.9,-1
MAI,1953-07-27,20,,,0.07,35.245,11.9,-1
MAI,1953-07-27,50,,,0.09,35.227,11.9,-1
MAI,1953-08-13,0,4.7,,0.05,35.083,12.25,-17.2
MAI,1953-08-13,20,3.7,,0.03,35.01,11.75,-17.2
MAI,1953-08-13,50,3.2,,0.03,35.335,11.65,-17.2
MAI,1953-09-15,0,1.9,,0.09,35.173,11.75,-13
MAI,1953-09-15,20,2.5,,0.09,35.227,11.5,-13
MAI,1953-09-15,50,1.3,,0.11,35.209,11.6,-13
MAI,1953-09-30,0,4,,0.1,35.173,11.8,-13
MAI,1953-09-30,20,2.6,,0.1,35.191,11.6,-13
MAI,1953-09-30,50,2.1,,0.1,35.227,11.6,-13
MAI,1953-10-27,0,0,,0.04,34.938,13.5,-0.1
MAI,1953-10-27,20,0,,0.07,34.902,11.7,-0.1
MAI,1953-10-27,50,0,,0.12,,11.5,-0.1
MAI,1953-11-19,0,0.4,,0.03,34.884,13.4,-2
MAI,1953-11-19,20,1.5,,0.04,34.866,12.3,-2
MAI,1953-11-19,50,2.7,,0.08,34.884,12,-2
MAI,1953-12-10,0,1.6,,0.11,34.974,12.5,-4
MAI,1953-12-10,20,3.5,,0.13,34.938,12.4,-4
MAI,1953-12-10,50,1.8,,0.13,34.938,12.6,-4
MAI,1953-12-29,0,3.6,,0.08,34.974,13.6,-4
MAI,1953-12-29,20,3.1,,0.09,35.046,13.5,-4
MAI,1953-12-29,50,1.7,,0.09,34.974,13.1,-4
MAI,1954-01-20,0,0.4,,0.06,34.956,15.6,6
MAI,1954-01-20,20,1.2,,0.23,34.956,14.3,6
MAI,1954-01-20,50,0,,0.03,34.956,13.5,6
MAI,1954-02-10,0,0,,0.13,35.099,16.75,-3.6
MAI,1954-02-10,20,0,,0.19,35.16,15.55,-3.6
MAI,1954-02-10,50,0.6,,0.26,35.069,14.6,-3.6
MAI,1954-03-17,0,,,,35.317,16.15,-0.9
MAI,1954-03-17,50,,,,35.209,15.7,-0.9
MAI,1954-04-27,0,0.8,,0.19,35.137,14.2,6.9
MAI,1954-04-27,20,0.8,,0.19,35.137,14.2,6.9
MAI,1954-04-27,50,1.9,,0.29,35.083,13.9,6.9
MAI,1954-05-23,0,,,0.42,35.028,12.6,4.4
MAI,1954-05-23,20,,,0.39,35.046,12.6,4.4
MAI,1954-05-23,50,,,0.35,35.046,12.6,4.4
MAI,1954-06-20,0,0.1,,0.42,34.938,12.15,-1.5
MAI,1954-06-20,20,0,,0.48,34.902,12,-1.5
MAI,1954-06-20,50,0.1,,0.39,34.92,12,-1.5
MAI,1954-07-21,0,3.1,,0.39,35.046,11.9,4.2
MAI,1954-07-21,20,3.4,,0.39,35.01,12.05,4.2
MAI,1954-07-21,50,3.1,,0.29,35.083,12.1,4.2
MAI,1954-08-09,0,2.1,,0,34.974,11.2,10.4
MAI,1954-08-09,20,3.6,,0.29,34.992,11.2,10.4
MAI,1954-08-09,50,3.6,,0,35.01,11.25,10.4
MAI,1954-09-29,0,2.4,,0.29,35.173,12.1,4.5
MAI,1954-09-29,20,2.9,,0.32,35.155,11.7,4.5
MAI,1954-09-29,50,2.4,,0.35,35.209,11.75,4.5
MAI,1954-10-12,0,3.2,,0.16,35.101,11.9,1.8
MAI,1954-10-12,20,2.6,,0.26,35.01,11.85,1.8
MAI,1954-10-12,50,3.1,,0.19,35.119,11.8,1.8
MAI,1954-11-18,0,0,,0.26,35.028,13.3,3.9
MAI,1954-11-18,50,1.4,,0.32,35.065,12.2,3.9
MAI,1954-12-05,0,4.2,,0.1,34.94,13.75,12.8
MAI,1955-01-04,0,0,,0.19,34.848,15.25,-5.4
MAI,1955-01-04,50,2.4,,0.39,,13.7,-5.4
MAI,1955-02-25,0,0,,0.16,35.083,16.3,15.2
MAI,1955-02-25,20,0,,0.23,35.101,16.2,15.2
MAI,1955-02-25,50,0,,0.42,35.119,15.9,15.2
MAI,1955-03-27,0,0.8,,0.32,35.191,17.6,2.9
MAI,1955-03-27,20,0.8,,0.32,35.227,17.5,2.9
MAI,1955-03-27,50,1.4,,0.39,35.209,16.8,2.9
MAI,1955-05-17,0,0.8,,0.35,35.173,13.95,13.1
MAI,1955-05-17,50,0.4,,0.29,35.263,14.21,13.1
MAI,1955-06-20,0,1.6,,0.29,34.956,12.2,16.4
MAI,1955-06-20,20,1.6,,0.35,35.046,12,16.4
MAI,1955-06-20,50,1.9,,0.32,35.101,12,16.4
MAI,1955-07-18,0,2.3,,0.23,35.083,12.3,19.2
MAI,1955-07-18,20,3.1,,0.29,35.065,12.3,19.2
MAI,1955-07-18,50,2.9,,0.23,35.137,12.3,19.2
MAI,1955-08-26,0,,,,34.99,11.39,14.9
MAI,1955-09-25,0,1.9,,0.29,35.046,12.1,14.1
MAI,1955-09-25,20,1.3,,0.26,34.902,11.8,14.1
MAI,1955-09-25,50,2.2,,0.29,34.992,11.8,14.1
MAI,1955-10-31,0,0.2,,0.29,35.046,12.2,15.2
MAI,1955-10-31,20,1.4,,0.29,35.046,12.15,15.2
MAI,1955-10-31,50,1.1,,0.35,35.01,12,15.2
MAI,1955-11-17,0,,,0.32,35.028,12.2,15.1
MAI,1955-11-17,20,,,0.32,35.028,12.4,15.1
MAI,1955-11-17,50,,,0.32,35.119,12.4,15.1
MAI,1955-12-26,0,,,,35.209,15.1,9.3
MAI,1955-12-26,50,,,,34.974,14.65,9.3
MAI,1956-01-26,0,0,,0.13,35.083,16.4,11.3
MAI,1956-01-26,20,0.7,,0.26,35.119,16.4,11.3
MAI,1956-01-26,50,1.1,,0.13,34.956,14.7,11.3
MAI,1956-02-11,0,,,,35.083,17.4,12.4
MAI,1956-02-11,20,,,,35.101,16.1,12.4
MAI,1956-02-11,50,,,,35.065,13.4,12.4
MAI,1956-03-28,0,,,,35.173,,9.4
MAI,1956-03-28,20,,,,35.155,,9.4
MAI,1956-03-28,50,,,,35.028,16.2,9.4
MAI,1956-04-27,0,0.8,,0.32,35.227,15.5,11.1
MAI,1956-04-27,20,1,,0.35,35.227,15.6,11.1
MAI,1956-04-27,50,1,,0.35,35.191,15.4,11.1
MAI,1956-05-28,0,0.4,,0.16,35.046,14.4,17.9
MAI,1956-05-28,20,0,,0.19,35.083,14.4,17.9
MAI,1956-05-28,50,0,,0.23,35.083,14.4,17.9
MAI,1956-06-19,0,3.2,,,35.046,13.2,12.3
MAI,1956-06-19,20,3.2,,,34.974,13.2,12.3
MAI,1956-06-19,50,2.5,,,35.046,13.2,12.3
MAI,1956-07-10,0,1.8,,0.32,35.209,12.8,12.6
MAI,1956-07-10,20,2.1,,0.32,35.227,13,12.6
MAI,1956-07-10,50,1.8,,0.35,35.263,13,12.6
MAI,1956-08-06,0,2.5,,0.38,35.119,12.2,11
MAI,1956-08-06,20,2.5,,0.23,35.209,12.2,11
MAI,1956-08-06,50,2.5,,0.35,35.245,12.2,11
MAI,1956-09-03,0,2.5,,0.39,35.083,11.9,0.2
MAI,1956-09-03,20,2.5,,0.42,35.137,11.9,0.2
MAI,1956-09-03,50,3.2,,0.39,35.119,11.9,0.2
MAI,1956-10-08,0,0,,0.39,35.083,12.4,18.3
MAI,1956-10-08,10,0,,0.39,35.119,12.4,18.3
MAI,1956-10-08,20,0,,0.39,35.083,12.1,18.3
MAI,1956-10-08,30,0.7,,0.45,35.137,12,18.3
MAI,1956-10-08,40,2.1,,0.55,35.191,11.8,18.3
MAI,1956-10-08,50,3.2,,0.55,35.173,11.8,18.3
MAI,1956-11-06,0,0,,0.35,35.083,12.5,1.9
MAI,1956-11-06,10,0,,0.35,35.065,12.1,1.9
MAI,1956-11-06,20,0.7,,0.39,35.065,12.1,1.9
MAI,1956-11-06,30,1.4,,0.45,35.065,12,1.9
MAI,1956-11-06,40,2.1,,0.45,35.083,12,1.9
MAI,1956-11-06,50,1.4,,0.45,35.101,12,1.9
MAI,1956-12-17,0,1.4,,0.35,35.046,13.1,10.3
MAI,1956-12-17,10,1.4,,0.45,35.028,13.1,10.3
MAI,1956-12-17,20,1.4,,0.42,35.028,13,10.3
MAI,1956-12-17,30,2.1,,0.52,34.992,12.9,10.3
MAI,1956-12-17,40,3.2,,0.52,34.992,12.8,10.3
MAI,1956-12-17,50,3.2,,0.42,35.028,12.4,10.3
MAI,1957-01-08,0,0,,0.39,34.974,13.5,5.6
MAI,1957-01-08,10,0,,0.36,34.992,13.4,5.6
MAI,1957-01-08,20,1.4,,0.36,35.01,13.4,5.6
MAI,1957-01-08,30,0,,0.36,35.01,13.55,5.6
MAI,1957-01-08,40,0.7,,0.36,35.028,13.35,5.6
MAI,1957-01-08,50,0.7,,0.36,35.028,13.35,5.6
MAI,1957-01-22,0,0,,0.32,34.92,14.55,5.6
MAI,1957-01-22,10,0,,0.42,35.028,14.3,5.6
MAI,1957-01-22,20,0,,0.42,34.992,14.1,5.6
MAI,1957-01-22,30,0,,0.32,34.992,13.8,5.6
MAI,1957-01-22,40,0,,0.32,34.992,13.8,5.6
MAI,1957-01-22,50,0.7,,0.42,34.956,13.2,5.6
MAI,1957-02-05,0,0,,0.39,34.992,14.7,-2.2
MAI,1957-02-05,10,0,,0.39,34.992,14.4,-2.2
MAI,1957-02-05,20,0,,0.36,35.01,14.35,-2.2
MAI,1957-02-05,30,0,,0.36,35.01,14.3,-2.2
MAI,1957-02-05,40,0,,0.36,35.028,14.25,-2.2
MAI,1957-02-05,50,0,,0.32,35.01,14.25,-2.2
MAI,1957-02-19,0,0,,0.36,35.065,16.1,-2.2
MAI,1957-02-19,10,0,,0.39,35.046,15.9,-2.2
MAI,1957-02-19,20,0,,0.39,34.992,15.05,-2.2
MAI,1957-02-19,30,1.8,,0.36,34.974,14.2,-2.2
MAI,1957-02-19,40,2.9,,0.52,34.992,13.8,-2.2
MAI,1957-02-19,50,4.3,,0.52,34.938,13.4,-2.2
MAI,1957-03-05,0,0.7,,0.39,34.992,15.35,-0.9
MAI,1957-03-05,10,0,,0.39,34.992,15,-0.9
MAI,1957-03-05,20,0,,0.39,34.992,14.8,-0.9
MAI,1957-03-05,30,0.4,,0.45,34.992,14.6,-0.9
MAI,1957-03-05,40,1.1,,0.45,34.992,14.45,-0.9
MAI,1957-03-05,50,1.4,,0.48,34.992,14.25,-0.9
MAI,1957-04-02,0,1.1,,0.36,34.992,14.35,1.2
MAI,1957-04-02,10,1.1,,0.36,34.992,14.2,1.2
MAI,1957-04-02,20,0.7,,0.39,34.992,14.2,1.2
MAI,1957-04-02,30,1.4,,0.36,34.974,14.2,1.2
MAI,1957-04-02,40,1.4,,0.36,34.974,14.2,1.2
MAI,1957-04-02,50,1.4,,0.39,34.974,14.2,1.2
MAI,1957-04-16,0,0.4,,0.36,35.101,14.4,1.2
MAI,1957-04-16,10,0,,,35.101,14.4,1.2
MAI,1957-04-16,20,0,,0.36,35.101,14.4,1.2
MAI,1957-04-16,30,0,,0.36,35.101,14.4,1.2
MAI,1957-04-16,40,0,,0.36,35.101,14.4,1.2
MAI,1957-04-16,50,0,,0.32,35.101,14.4,1.2
MAI,1957-05-03,0,2.1,,0.42,34.992,13.4,-12.2
MAI,1957-05-03,10,1.4,,0.42,34.992,13.4,-12.2
MAI,1957-05-03,20,1.8,,0.42,34.974,13.4,-12.2
MAI,1957-05-03,30,1.8,,0.42,34.974,13.4,-12.2
MAI,1957-05-03,40,1.8,,0.42,34.974,13.4,-12.2
MAI,1957-05-03,50,1.8,,0.42,34.974,13.4,-12.2
MAI,1957-06-04,0,1.8,,0.39,35.119,13.2,-2.3
MAI,1957-06-04,10,1.4,,0.39,35.119,13.2,-2.3
MAI,1957-06-04,20,2.1,,0.39,35.119,13.2,-2.3
MAI,1957-06-04,30,2.1,,0.39,35.119,13.2,-2.3
MAI,1957-06-04,40,2.1,,0.39,35.119,13.2,-2.3
MAI,1957-06-04,50,2.1,,0.36,35.119,13.2,-2.3
MAI,1957-07-03,0,1.4,,0.39,35.119,12.4,0.9
MAI,1957-07-03,10,1.4,,0.45,35.119,12.4,0.9
MAI,1957-07-03,20,1.4,,0.45,35.119,12.5,0.9
MAI,1957-07-03,30,1.1,,0.45,35.119,12.5,0.9
MAI,1957-07-03,40,1.4,,0.45,35.119,12.5,0.9
MAI,1957-07-03,50,1.1,,0.45,35.119,12.5,0.9
MAI,1957-07-16,0,2.1,,0.36,35.155,12.4,0.9
MAI,1957-07-16,10,1.8,,0.39,35.155,12.4,0.9
MAI,1957-07-16,20,1.8,,0.45,35.155,12.4,0.9
MAI,1957-07-16,30,1.4,,0.45,35.155,12.4,0.9
MAI,1957-07-16,40,1.4,,0.45,35.155,12.4,0.9
MAI,1957-07-16,50,1.4,,0.45,35.155,12.4,0.9
MAI,1957-08-06,0,1.1,,0.45,35.155,12.1,-9.5
MAI,1957-08-06,10,1.1,,0.45,35.155,12.15,-9.5
MAI,1957-08-06,20,0.4,,0.45,35.155,12.15,-9.5
MAI,1957-08-06,30,0.7,,0.45,35.155,12.2,-9.5
MAI,1957-08-06,40,0.7,,0.45,35.155,12.2,-9.5
MAI,1957-08-06,50,0.4,,0.45,35.155,12.2,-9.5
MAI,1957-08-20,0,1.8,,0.42,35.209,12.15,-9.5
MAI,1957-08-20,10,1.4,,0.42,35.209,12.15,-9.5
MAI,1957-08-20,20,1.4,,0.42,35.209,12.15,-9.5
MAI,1957-08-20,30,1.1,,0.42,35.209,12.15,-9.5
MAI,1957-08-20,40,1.4,,0.42,35.209,12.1,-9.5
MAI,1957-08-20,50,1.8,,0.42,35.209,12.05,-9.5
MAI,1957-09-03,0,1.8,,0.42,35.209,11.9,-10.6
MAI,1957-09-03,10,1.4,,0.42,35.209,11.9,-10.6
MAI,1957-09-03,20,1.1,,0.42,35.209,11.9,-10.6
MAI,1957-09-03,30,1.1,,0.39,35.209,11.9,-10.6
MAI,1957-09-03,40,0.7,,0.39,35.209,11.9,-10.6
MAI,1957-09-03,50,1.1,,0.36,35.209,11.9,-10.6
MAI,1957-09-19,0,1.8,,0.45,35.173,12,-10.6
MAI,1957-09-19,10,1.4,,0.45,35.173,12.05,-10.6
MAI,1957-09-19,20,0.7,,0.45,35.173,12.05,-10.6
MAI,1957-09-19,30,1.4,,0.45,35.173,12.05,-10.6
MAI,1957-09-19,40,1.4,,0.45,35.173,12.05,-10.6
MAI,1957-09-19,50,1.4,,0.45,35.173,12.05,-10.6
MAI,1957-10-15,0,1.8,,0.42,35.119,11.7,-1.3
